# (for 5 questions asked) Num_Answers_Provided,Mean_Answers_received_per_question, Dead, All
1,9.6,0,7
1,9.8,0,1
1,10,0,3
1,10.2,0,4
1,10.6,0,2
1,11.4,0,1
1,11.6,0,1
1,11.8,0,1
1,12.8,0,2
1,13,0,1
1,15.2,0,1
1,16,0,1
1,16.8,0,1
1,17.2,0,1
1,20.4,0,1
2,0,0,2
2,0.2,0,10
2,0.4,0,49
2,0.6,3,167
2,0.8,27,428
2,1,45,881
2,1.2,85,1445
2,1.4,106,1709
2,1.6,117,1841
2,1.8,115,1690
2,2,95,1556
2,2.2,105,1283
2,2.4,86,1071
2,2.6,66,838
2,2.8,56,681
2,3,27,450
2,3.2,26,390
2,3.4,20,293
2,3.6,16,248
2,3.8,13,181
2,4,18,167
2,4.2,3,128
2,4.4,10,107
2,4.6,8,103
2,4.8,6,83
2,5,4,61
2,5.2,3,37
2,5.4,3,37
2,5.6,2,31
2,5.8,1,25
2,6,1,27
2,6.2,1,24
2,6.4,3,20
2,6.6,2,12
2,6.8,0,10
2,7,0,12
2,7.2,1,10
2,7.4,0,12
2,7.6,0,10
2,7.8,1,3
2,8,0,7
2,8.2,1,9
2,8.4,0,9
2,8.6,0,6
2,8.8,0,9
2,9,0,5
2,9.2,2,4
2,9.4,0,2
2,9.6,0,2
2,9.8,0,3
2,10,0,3
2,10.2,0,3
2,10.4,0,1
2,10.6,0,1
2,11,0,3
2,11.2,0,1
2,11.4,0,2
2,11.6,0,1
2,11.8,0,1
2,12.4,0,2
2,12.6,0,1
2,12.8,0,1
2,13,0,1
2,13.2,0,1
2,14.8,0,1
2,15.2,0,1
2,15.8,0,2
2,16,0,1
2,17.2,0,1
3,0.2,0,10
3,0.4,0,28
3,0.6,1,92
3,0.8,8,280
3,1,25,568
3,1.2,52,960
3,1.4,72,1160
3,1.6,63,1206
3,1.8,67,1179
3,2,72,1040
3,2.2,70,889
3,2.4,43,714
3,2.6,43,627
3,2.8,30,487
3,3,19,365
3,3.2,20,269
3,3.4,16,226
3,3.6,14,178
3,3.8,5,147
3,4,11,126
3,4.2,6,109
3,4.4,5,89
3,4.6,8,79
3,4.8,5,72
3,5,3,49
3,5.2,2,34
3,5.4,1,37
3,5.6,3,38
3,5.8,3,33
3,6,0,17
3,6.2,2,22
3,6.4,2,19
3,6.6,1,19
3,6.8,1,15
3,7,1,11
3,7.2,0,4
3,7.4,0,12
3,7.6,0,9
3,7.8,0,4
3,8,0,5
3,8.2,0,6
3,8.4,0,5
3,8.6,1,6
3,8.8,0,8
3,9,0,3
3,9.2,0,6
3,9.4,0,5
3,9.6,0,1
3,9.8,0,1
3,10,0,5
3,10.2,0,1
3,10.4,0,3
3,10.6,0,2
3,10.8,0,2
3,11,1,3
3,11.4,1,3
3,11.6,0,1
3,12,0,1
3,12.2,0,1
3,12.4,1,4
3,12.8,0,2
3,13.2,0,1
3,14.4,0,1
3,14.6,0,1
3,14.8,0,1
3,15.8,0,2
3,16,0,1
3,16.6,0,1
3,18.8,1,1
3,41.6,0,1
4,0,0,1
4,0.2,0,5
4,0.4,0,15
4,0.6,2,70
4,0.8,2,174
4,1,22,419
4,1.2,28,655
4,1.4,35,801
4,1.6,41,876
4,1.8,42,861
4,2,37,797
4,2.2,30,624
4,2.4,31,603
4,2.6,26,491
4,2.8,34,400
4,3,24,297
4,3.2,14,242
4,3.4,13,199
4,3.6,8,136
4,3.8,6,133
4,4,8,92
4,4.2,4,80
4,4.4,7,75
4,4.6,3,61
4,4.8,4,52
4,5,4,55
4,5.2,1,38
4,5.4,1,42
4,5.6,1,35
4,5.8,2,31
4,6,1,19
4,6.2,0,21
4,6.4,1,16
4,6.6,2,13
4,6.8,0,13
4,7,0,8
4,7.2,0,4
4,7.4,2,11
4,7.6,3,10
4,7.8,0,6
4,8,0,6
4,8.2,0,8
4,8.4,0,6
4,8.6,1,6
4,8.8,1,6
4,9,0,6
4,9.2,0,5
4,9.4,1,8
4,9.6,0,5
4,9.8,0,1
4,10,0,4
4,10.2,0,1
4,10.4,1,2
4,10.6,0,4
4,10.8,0,1
4,11,0,1
4,11.2,0,2
4,11.4,0,2
4,11.6,0,2
4,12,0,1
4,12.2,0,2
4,12.4,1,2
4,12.6,0,2
4,12.8,0,1
4,13,0,1
4,14.4,0,1
4,14.6,0,1
4,14.8,0,1
4,15.8,0,1
4,16.6,0,1
4,17.6,0,1
4,18.8,0,2
4,20,0,1
4,28,0,1
4,32.8,0,1
4,41.6,0,1
5,0.2,1,8
5,0.4,0,17
5,0.6,0,57
5,0.8,7,152
5,1,11,340
5,1.2,25,522
5,1.4,41,701
5,1.6,34,694
5,1.8,35,724
5,2,36,683
5,2.2,22,517
5,2.4,23,489
5,2.6,22,380
5,2.8,32,332
5,3,9,240
5,3.2,9,195
5,3.4,8,175
5,3.6,4,107
5,3.8,8,111
5,4,12,91
5,4.2,5,84
5,4.4,2,70
5,4.6,2,51
5,4.8,1,45
5,5,5,41
5,5.2,2,46
5,5.4,0,36
5,5.6,1,30
5,5.8,2,31
5,6,0,19
5,6.2,1,26
5,6.4,0,14
5,6.6,2,13
5,6.8,1,17
5,7,0,11
5,7.2,0,6
5,7.4,1,14
5,7.6,0,7
5,7.8,0,3
5,8,1,3
5,8.2,1,6
5,8.4,0,4
5,8.6,0,6
5,8.8,0,3
5,9,1,7
5,9.2,1,6
5,9.4,2,7
5,9.6,0,4
5,9.8,0,1
5,10,0,2
5,10.2,0,1
5,10.4,0,1
5,10.6,1,3
5,10.8,0,2
5,11.2,0,1
5,11.4,0,3
5,11.6,0,2
5,12.2,1,3
5,12.4,0,2
5,12.6,1,2
5,12.8,0,3
5,13.4,0,1
5,14,0,1
5,14.6,0,1
5,17.2,0,1
5,18.8,0,1
5,19.8,0,1
5,20,0,1
5,28,0,1
5,32.8,0,1
