#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5
-1,5,0,2.2,,1,,1,,,,36116,,38,0.166667,0,1165,,3,5,72639,44756,,,,,0,47263,25821,93226,24738
-1,0,5,,0,,1,,1,1349,,,1796,,6,266,0,1,,0,,,,203.5,761,7053,63605,173,1284,17787,3
-1,5,0,0.8,,0,,0,,,,8570,,255,0.166667,0,652,,0,3,8866,12770,,,,,2,2732,997,5014,587
-1,5,0,3.6,,1,,1,,,,21488,,37,0.166667,0,324,,2,5,47822,28885,,,,,0,85807,46,8799,519
-1,5,0,3,,-2,,3,,,,3707,,4,0.166667,0,3258,,2,5,7898,4632,,,,,8,665,409,639,901
-1,5,0,4.4,,15,,29,,,,24894,,259,0.166667,0,483,,0,4,67583,,,,,,13,40823,77266,89458,200453
-1,0,5,,0,,0,,1,8,,,414,,6,707,0,1,,0,,,43.25,,,1897,0,67997,35,7032,2742
-1,3,2,1.33333,0,-1,0,1,1,6,,27940,1271,1,0.75,77,872,0,3,1,100438,9728,,,1270.5,,9,33,211,20986,121
-1,0,5,,4,,7,,2,47,,,739,,6,554,0,1,,0,,,1,392,1100,,3,858225,220,986,137
-1,4,1,2,2,2,0,2,4,2588,,1244,91,98232,0.4,319,1253,0,0,4,4104,450,,91,,,0,17644,2588,11818,15510
-1,5,0,1.4,,-1,,2,,,,4559,,4293,0.166667,0,1700,,2,5,4844,4572,,,,,9,849,132,291,131
-1,2,3,3,1,2,1,1,1,156421,,13012,3313,18,1.33333,354,449,0,1,2,37845,571,,88,,6538,54,131,46,13,15
-1,5,0,1.4,,1,,1,,,,3822,,38,0.166667,0,635,,1,4,6701,4580,,,,,0,4591,66120,2586,14515
-1,5,0,1.8,,0,,1,,,,11570,,2,0.166667,0,504,,1,5,24985,4012,,,,,0,199,4172,166,23
-1,2,3,1,1,4,1,1,1,78,,103121,125,130,1.33333,451,1269,0,2,1,206046,195,15,179.5,,,0,140,1025060,1015,278
-1,5,0,0.6,,1,,1,,,,13494,,59,0.166667,0,681,,2,3,13494,6366,,,,,5,1423,4352,24652,53053
-1,0,5,,0,,0,,1,287,,,363,,6,148,0,1,,0,,,25.5,84,840.5,,303,162,2908,4182,136883
-1,0,5,,2,,2,,2,19330,,,626,,6,300,0,2,,0,,,16,128,652,2205,2,188074,1857,12709,183339
-1,1,4,4,2,6,2,0,3,87788,,21529,3961,20,2.5,455,1400,0,5,1,75691,2313,26,,508,7655.5,202370,40,23,73,1344
-1,1,4,1,1,1,1,0,2,4,,2627,45,716229,2.5,261,2666,1,7,1,2627,,18.3333,123,,,4,33,36,128285,377121
-1,5,0,2.4,,1,,1,,,,30311,,15,0.166667,0,964,,1,5,49119,13563,,,,,15,8429,21946,9640,1710
-1,5,0,1.2,,0,,0,,,,23754,,9,0.166667,0,521,,2,4,24363,23145,,,,,0,10029,1599,11535,8573
-1,4,1,3,0,4,0,4,1,1260,,29992,354,41,0.4,1239,1091,0,1,4,51458,35732,,354,,,96581,98936,1260,236,195537
-1,0,5,,1,,1,,1,823,,,107,,6,1481,0,1,,0,,,34.75,396,,,6,10263,5,2920,9
-1,5,0,2,,0,,0,,,,3443,,15,0.166667,0,532,,1,5,5551,3382,,,,,0,10150,4154,20159,41854
-1,4,1,1.75,0,0,0,1,1,1425,,1033,22,10,0.4,479,485,0,4,4,1906,1557,22,,,,1368,1425,1627,2733,65
-1,5,0,1.2,,0,,0,,,,2279,,1369,0.166667,0,3290,,1,4,4225,3869,,,,,6,11705,1430,1683,105
-1,1,4,7,0,0,1,0,1,8,,45403,1276,2,2.5,313,589,2,1,1,170638,47728,49,100,1349,3606,9,61,14,11,32
-1,4,1,1.25,0,0,0,0,1,617,,3884,44,456,0.4,694,722,0,1,3,7593,10997,44,,,,5,617,30,855,131
-1,3,2,2,1,0,0,2,1,173,,1653,284,11,0.75,972,1326,0,4,3,2016,476,,88,480,,13,702,572,117,1795
-1,5,0,0.6,,0,,0,,,,14362,,710,0.166667,0,917,,1,3,14362,653,,,,,9,193,2516,99,77918
-1,3,2,5.66667,2,1,0,1,2,85,,27760,682,46,0.75,935,976,1,2,3,174439,17472,,124,1240,,40,63,382,9165,237180
-1,1,4,5,2,2,2,0,2,8841,,11429,2559,3,2.5,491,1299,1,3,1,43679,126,51,,1283.5,7618,52162,111269,64,4028,1672
-1,2,3,6.5,0,10,0,5,1,52106,,17324,3101,7,1.33333,438,1492,0,3,2,102800,94367,,,1526,3889,0,42,110159,2094,262504
-1,0,5,,1,,1,,1,2092,,,6722,,6,230,0,0,,0,,,,306,,13138,5,4,1130,43036,38827
-1,5,0,1.6,,0,,0,,,,4276,,39,0.166667,0,6944,,2,5,7193,7193,,,,,11438,3295,4135,4084,1695
-1,5,0,2.2,,0,,1,,,,14250,,9,0.166667,0,1407,,1,5,18056,11156,,,,,4,14690,1569,6926,7442
-1,5,0,3.8,,5,,5,,,,22532,,3,0.166667,0,411,,3,5,46222,46026,,,,,0,5535,304,366,1074
-1,5,0,2.2,,1,,1,,,,6716,,11,0.166667,0,2140,,0,5,10962,7654,,,,,19,12273,70,152,5678
-1,5,0,1.6,,1,,1,,,,35145,,160,0.166667,0,1388,,1,4,43147,40263,,,,,12,58409,99574,42362,15846
-1,2,3,1,1,1,1,1,1,94625,,39117,257,105,1.33333,392,438,0,6,2,39117,39117,57,234,480,,0,9957,21520,14332,13117
-1,3,2,2.33333,0,1,0,0,1,1797,,15028,26,10,0.75,612,1500,0,1,3,56995,,26,,,,0,1708,177,24391,5198
-1,1,4,7,1,0,1,0,1,713,,12622,4886,4,2.5,339,533,0,0,1,38351,5390,,141,790,9306.5,123574,11727,396,794,12
-1,4,1,2.25,3,3,0,5,2,26,,8203,52,20,0.4,1789,1666,2,2,4,15123,14360,52,,,,25,430,5799,71237,60
-1,5,0,5.8,,7,,8,,,,12403,,626,0.166667,0,978,,2,5,75850,16919,,,,,1381,4344,125479,1017,66754
-1,5,0,1,,1,,1,,,,20828,,251,0.166667,0,1987,,2,5,20828,20828,,,,,19,15427,1712,3064,8331
-1,0,5,,3,,4,,3,431,,,22355,,6,921,0,0,,0,,,,,1508.5,36252.3,7699,13,584,1672,59
-1,4,1,1.75,1,3,0,2,2,1428,,16347,359,206,0.4,893,919,0,2,4,32505,528,,359,,,6,1428,49970,119118,73698
-1,0,5,,0,,0,,1,10,,,315,,6,668,0,0,,0,,,41,131,681,,348572,3969,5490,7128,1486
-1,3,2,4.66667,2,8,2,6,4,30,,81569,858,4,0.75,419,577,1,1,3,150609,97978,11,,,1705,9,633789,1265,5651,4400
-1,1,4,1,1,2,0,0,1,343324,,5437,2277,95913,2.5,828,429,0,0,1,5437,5437,,,1154,3400,0,953677,74350,342435,19978
-1,4,1,3.5,0,1,0,1,1,489,,23079,572,17,0.4,270,1047,0,1,4,64164,8391,,,572,,0,28357,489,1509,300
-1,1,4,1,1,1,0,0,1,67018,,53,33,51518,2.5,1621,2225,0,0,1,53,53,32.75,,,,37629,703,50815,318,2730
-1,0,5,,3,,5,,2,767309,,,3679,,6,1094,0,0,,0,,,,,1200.5,5331,7462,8482,24620,18399,399
-1,5,0,2.2,,0,,0,,,,5272,,109,0.166667,0,785,,0,5,10138,1208,,,,,183,12751,20338,27236,20455
-1,4,1,1.25,0,0,0,0,1,80647,,7542,3,20176,0.4,72,370,0,0,4,7547,14499,3,,,,24,274852,86333,200218,80647
-1,3,2,2.33333,1,2,0,1,2,50052,,16560,1352,36,0.75,701,1148,1,0,3,34968,8596,,77,,2626,329619,162905,274959,216114,218692
-1,0,5,,0,,0,,1,7518,,,3768,,6,803,0,2,,0,,,,129,905.5,8450.5,26,118,977,13,28886
-1,1,4,3,3,9,1,0,2,55,,302,13135,1,2.5,345,163,1,0,1,501,,,416,,17375,0,2967,1360,155,756
-1,3,2,1.66667,1,2,0,3,1,2894,,158961,889,94,0.75,242,1517,0,1,3,160441,159577,,95,,1683,297781,20167,24824,8,5750
-1,1,4,2,1,2,1,0,2,79665,,47343,6341,13,2.5,691,1071,1,2,1,91358,91358,6,,1591,11884,31,1466,212,1363,424955
-1,5,0,1.2,,1,,1,,,,9648,,8758,0.166667,0,1061,,0,5,15268,15268,,,,,0,2515,2858,335,825
-1,0,5,,2,,2,,1,115,,,2355,,6,235,0,1,,0,,,,300,1118,3451.67,88871,15735,4504,33343,19912
-1,1,4,1,1,0,0,0,2,183,,1030,1633,617,2.5,1152,1188,2,11,1,1030,1030,,106,1030,5290,10,617,68,69,9
-1,4,1,1.5,3,0,0,0,1,1055,,4211,2395,82,0.4,194,2025,0,3,3,5678,4863,,,,2395,37268,1578265,73553,50594,89286
-1,0,5,,2,,1,,1,924,,,427,,6,740,0,1,,0,,,57.6667,,981.5,,133006,8158,76,53,176
-1,4,1,0.75,0,1,0,1,1,25,,4679,1,30,0.4,105,221,2,2,3,4679,13052,1,,,,9,11792,32,4250,2816
-1,5,0,3,,1,,1,,,,42894,,12,0.166667,0,469,,1,5,93736,154431,,,,,0,1205,4288,47,226
-1,4,1,1.75,1,4,0,4,1,27021,,191699,109,6882,0.4,126,3709,0,4,4,192910,63,,109,,,22016,231678,253616,21554,5466
-1,2,3,2,0,1,0,1,1,18,,15735,1625,32,1.33333,464,1497,0,5,2,30570,26650,6,,,2434,20,2151,7660,20111,2562
-1,2,3,1,1,1,0,1,2,389894,,2017,813,5520,1.33333,652,592,0,0,2,2017,,10.5,,,2417,541225,27230,119,113348,356
-1,0,5,,2,,1,,2,43,,,583,,6,357,0,3,,0,,,13.5,340,757,1789,33,13,35,909,28
-1,0,5,,1,,0,,1,2762,,,499,,6,203,0,1,,0,,,26,203,,1862,0,23155,5,29,168
-1,0,5,,10,,16,,2,3313,,,1192,,6,405,0,2,,0,,,8,250,,2726,72023,48662,2734,39072,2769
-1,2,3,1.5,0,2,0,2,1,464364,,2272,27821,923,1.33333,951,1605,0,1,2,3077,,36,,1096,82330,110380,4501,46597,30671,1252
-1,5,0,2.4,,6,,4,,,,51871,,4,0.166667,0,272,,1,4,111905,75539,,,,,0,5153,104227,23720,201505
-1,0,5,,0,,3,,2,17147,,,5939,,6,809,0,0,,0,,,,167,,7863.33,13,3,8,20176,289452
-1,0,5,,0,,0,,1,9871,,,324,,6,827,0,0,,0,,,1,,808,,24,248280,49018,11,6
-1,5,0,2.2,,0,,0,,,,12408,,8,0.166667,0,548,,1,5,30194,2029,,,,,5,3024,169693,10036,75459
-1,0,5,,1,,2,,1,22,,,1611,,6,424,0,0,,0,,,,255.5,1524,3009,139,24,1235,39,103
-1,0,5,,2,,2,,2,10486,,,6351,,6,388,0,0,,0,,,21,173,646,15458.5,30514,73,1846,28,25
-1,2,3,1,0,1,0,2,1,45307,,148,137,16486,1.33333,532,451,0,2,2,148,,1,205,,,183161,5458,18,17849,4007
-1,0,5,,1,,1,,2,111915,,,3843,,6,499,0,1,,0,,,,227.5,767.5,17225,809,1776,40268,1490,192
-1,5,0,3.4,,1,,2,,,,7457,,112478,0.166667,0,406,,0,5,20618,2227,,,,,0,447951,76288,2553,2575
-1,4,1,1,8,3,0,3,1,18,,10710,138,57,0.4,191,1474,0,1,4,10710,20296,,138,,,9,18,134227,612796,366482
-1,4,1,2.25,0,1,0,2,1,1015,,4494,22,259,0.4,532,777,0,1,4,8116,12977,22,,,,9243,196,3074,1015,9
-1,3,2,1.66667,3,1,2,1,2,6975,,4404,193,51821,0.75,573,1665,0,0,3,7172,1321,1,384,,,0,87,6936,13037,10142
-1,4,1,2.25,9,2,0,1,2,848387,,2398,655,7394,0.4,207,1110,0,1,4,5194,4694,,,655,,114142,208289,132824,121,13645
-1,5,0,4.4,,1,,1,,,,17939,,11,0.166667,0,540,,3,5,51082,1714,,,,,0,52,380,84,39
-1,5,0,0.8,,-1,,2,,,,1757,,24,0.166667,0,241,,3,3,2700,,,,,,5,9848,1643,28529,164494
-1,2,3,4.5,1,4,1,3,3,24620,,10063,1693,11004,1.33333,385,897,0,1,2,23893,6324,,243,,4593,4,112,37788,6,2249
-1,4,1,1.25,0,0,0,0,1,450920,,5318,32,15,0.4,181,1493,0,1,3,5792,,32,,,,17,149584,163003,6108,2370
-1,5,0,3.6,,4,,1,,,,145833,,2,0.166667,0,390,,1,5,306079,205808,,,,,8215,56,12331,1618,414
