#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7
-1,3,4,2,2,1,1,0,2,12958,,31724,7062,153,1.25,943,1153,1,0,3,78136,78136,,,695,9184.67,4113,353,5883,18707,31636,7956,155
-1,4,3,3.5,0,2,0,2,1,50,,26981,51,27,0.8,617,816,0,1,4,89844,8250,50.6667,,,,4312,250110,3996,79,8002,479,1756
-1,1,6,2,0,1,1,0,1,277,,163159,10161,10,3.5,736,1154,1,0,1,325797,325797,,,,10160.5,6,2037,3002,83,1,6,154
-1,2,5,1.5,2,2,2,0,2,18509,,61522,3391,854,2,1013,1464,0,1,2,62468,62468,,278.5,,6502.5,70532,8513,36,2851,588,1136,30253
-1,0,7,,11,,15,,5,888,,,6803,,8,928,0,1,,0,,,,,853.25,14735,153,43,282,148,645,50701,1289
-1,7,0,2.14286,,0,,1,,,,4393,,92,0.125,0,491,,1,6,5772,,,,,,9,7213,10074,3034,245,1502,1433
-1,4,3,0.75,0,0,1,0,1,665,,10864,2168,230,0.8,390,489,1,1,3,10864,15501,35,326,,6144,0,1301,364,813,2898,11,9008
-1,5,2,1.6,1,1,0,1,1,26630,,33158,51,1455,0.5,1201,1886,0,1,5,47520,22009,50.5,,,,128324,199034,758881,19436,30945,20048,8843
-1,6,1,4.5,22,19,0,32,4,5,,20844,,95,0.285714,200,803,3,0,6,52816,26148,,,,,21544,11605,1113,32071,91766,530,2446
-1,6,1,0.833333,0,0,0,0,1,96418,,1488,1591,106,0.285714,608,573,0,1,4,1945,1030,,,1591,,564663,6906,3078,15480,10353,10004,1907
-1,0,7,,1,,3,,2,273291,,,5189,,8,560,0,1,,0,,,3,,677,8741.5,121182,63,15500,541752,50362,105,67
-1,0,7,,1,,1,,2,15535,,,410,,8,332,0,2,,0,,,6.66667,193,885,,117902,255,56,1087,334,1260,1384
-1,7,0,1.85714,,1,,1,,,,26508,,3170,0.125,0,249,,1,7,31815,32886,,,,,3,18236,11708,2816,2766,8575,2169
-1,6,1,2.16667,-1,1,0,1,1,43,,21100,137,15,0.285714,747,887,1,1,6,34332,17091,,137,,,0,20,15388,43,13187,1502,20135
-1,0,7,,3,,1,,3,19809,,,629,,8,427,0,2,,0,,,12.5,107,944,3111,16,8658,1612,19,1109,7181,7
-1,1,6,1,0,0,0,0,1,37,,1293,259,188,3.5,311,347,1,0,1,1293,1293,32.75,131,1293,,0,188,4245,5595,3,4,4
-1,5,2,2,1,0,0,2,1,395907,,8059,35114,119,0.5,929,430,1,3,5,10972,,1,,,70227,0,170254,580,2207,2400,860,331
-1,0,7,,1,,1,,2,44996,,,3330,,8,306,0,1,,0,,,17.6667,,511,7581.33,0,10074,1350,38825,10,5896,24535
-1,3,4,3,1,0,0,0,1,21,,15293,30,13,1.25,1598,1862,1,2,3,32925,26241,9.66667,91,,,17,107,1791,1264,9792,7210,11660
-1,4,3,5.25,1,1,2,0,1,30222,,19213,1130,62,0.8,843,2083,2,1,4,122927,4923,,366,496,2528,64710,80651,2,11603,68937,2665,4344
-1,6,1,2.16667,1,1,0,1,1,7,,5525,200,6,0.285714,476,6787,2,1,6,8218,5574,,200,,,67,55,105543,1380,36,1291,328
-1,3,4,1,1,0,1,0,1,19860,,4717,3853,2262,1.25,810,1029,1,0,3,4717,4717,,80,,5110,40195,37235,164223,115601,70387,273510,19
-1,1,6,3,1,0,1,0,1,8500,,832,453,55,3.5,648,3275,1,0,1,1070,,24,,882.333,,564461,70294,76208,150671,33,16,4
-1,1,6,2,2,1,1,0,2,1493,,1884,3033,9,3.5,447,1164,0,0,1,2606,1162,,363,,4813.67,5,13,181,12,2990,8,4282
-1,4,3,1.5,0,0,0,0,1,482098,,3372,751,71,0.8,279,1126,0,0,4,3640,4951,,,751.333,,6,79199,53354,20,70181,10340,7292
-1,5,2,3,0,1,0,1,1,8,,22071,109,6,0.5,227,685,2,2,4,70245,14142,,109,,,9521,9202,33283,10111,3921,6,5
-1,4,3,2,1,3,0,1,1,55593,,24970,1103,297,0.8,925,1092,1,0,4,36953,24803,,333,1227,1749,333,4018,44242,2421,4488,893,3960
-1,1,6,1,1,4,1,0,1,75,,33738,2605,91,3.5,762,1541,1,0,1,33738,33738,5,93,1539,6951,66095,269111,6429,4241,283,220,448
-1,0,7,,1,,1,,1,133,,,171,,8,401,0,1,,0,,,18.3333,204.333,532,,742288,508,1016,1341,5351,963,40724
-1,7,0,2.28571,,1,,1,,,,16242,,10354,0.125,0,1994,,0,7,28360,7691,,,,,14,30486,10265,28753,32823,89575,18420
-1,5,2,1.4,0,-1,0,2,1,10621,,270,1,5044,0.5,314,597,0,5,4,490,,1,,,,24,571094,1016,186,18814,60,1350
-1,3,4,1,0,1,1,0,1,14,,11732,1812,343,1.25,243,201,0,1,3,11732,26572,,168,,6742,8561,715,78,794,25,9218,5
-1,0,7,,1,,1,,1,334805,,,3471,,8,319,0,0,,0,,,27,277,878,10978.5,40,43,88,43,129265,18,8
-1,7,0,1.85714,,1,,1,,,,5118,,8,0.125,0,479,,1,7,6058,6872,,,,,54995,519,51449,142,1058,1074,31
-1,7,0,1,,0,,1,,,,13683,,11,0.125,0,676,,0,6,15631,15631,,,,,5,8697,8562,11291,7490,12580,7241
-1,0,7,,2,,2,,3,3603,,,3127,,8,862,0,0,,0,,,,,516,3562,61814,8806,9956,10188,139,1343,2906
-1,7,0,2.14286,,1,,1,,,,7551,,12,0.125,0,523,,0,7,11473,12187,,,,,8,46184,98,24,2858,1221,51
-1,1,6,9,3,18,3,0,3,621,,8362,12637,7,3.5,492,514,1,0,1,49013,49013,,105.667,,25168.3,11,1099,206,26,315,52,9639
-1,0,7,,1,,1,,2,41,,,4235,,8,309,0,2,,0,,,16,214.5,,7299.75,19,4,11683,7441,1077,13240,662
-1,2,5,1.5,1,2,1,0,1,796357,,4028,3462,695,2,647,665,0,2,2,5845,2211,,,732.667,7555.5,41842,23,50500,170177,2276,1316,111769
-1,2,5,1,1,2,1,2,1,270610,,117,1417,4481,2,980,3069,1,1,2,117,117,11,125.667,,6696,0,6081,4280,18280,28397,164825,2881
-1,2,5,1,0,1,0,0,1,1196,,5151,264,59742,2,215,278,1,0,2,5151,5151,14,,640,,14034,87,2801,16305,80413,14321,4
-1,2,5,5.5,13,1,18,0,5,32,,7473,5619,5,2,430,334,1,1,2,18203,22897,,,1213,6720.5,496,8,37,5,2500,122,94
-1,5,2,3.2,6,3,2,2,3,8,,16556,8280,14,0.5,434,406,2,0,5,28937,27729,,,857,15703,26,11294,1571,23,2554,2851,464
-1,7,0,1.14286,,1,,1,,,,6074,,21381,0.125,0,401,,0,6,7711,,,,,,10234,7173,34226,17210,1452,232,1319
-1,4,3,1,5,0,6,1,2,440513,,4278,2756,12184,0.8,234,333,0,2,4,4278,4433,,281,,7706,4696,61909,53065,227,5495,8967,25849
-1,0,7,,0,,0,,1,54707,,,602,,8,494,0,0,,0,,,,186,736,1998,17,10,6,17,449,12,43
-1,6,1,2.83333,-1,0,0,0,1,10,,15927,25,17,0.285714,338,1374,2,2,5,39164,16,25,,,,7,8534,275134,16,50,15655,56189
-1,7,0,1.28571,,0,,1,,,,13822,,14,0.125,0,2431,,2,6,14383,6061,,,,,89441,94989,19056,145291,233313,96649,1263
-1,2,5,2,1,4,1,3,1,157622,,14590,1991,58,2,303,982,0,0,2,32287,32287,24.5,80,,4912,4,7,26,993,466,1222,27
-1,1,6,1,1,0,1,0,1,173096,,34982,315,1141,3.5,1380,3343,0,0,1,34982,,2.5,302.333,976,,0,58,211619,41775,85,26,17319
-1,0,7,,5,,8,,2,117632,,,436,,8,389,0,1,,0,,,16,234.75,1049,,175689,501671,247695,52,2276,6,8346
-1,0,7,,0,,0,,1,30,,,819,,8,268,0,0,,0,,,3.5,322,1135.33,1999,1930,17,5,4,52,2339,8
-1,6,1,1.66667,0,2,0,1,1,136,,100058,99,136042,0.285714,80,1042,1,1,6,144855,173613,,99,,,1,53573,214307,32851,136,8747,244672
-1,0,7,,1,,0,,2,7,,,1478,,8,98,0,1,,0,,,13,220.5,1537,3409.5,90641,21,16,34,1324,21,32
-1,3,4,1,2,1,1,1,1,1189,,3266,140,553,1.25,318,527,1,0,3,3266,3266,,140,,,78230,20497,763,393,1395,1288,210473
-1,2,5,1,0,3,0,3,1,249,,1353,221,630,2,672,1537,0,1,2,1353,1353,23.3333,,516.5,,30,222,11550,5774,1001,116701,15
-1,5,2,3.4,3,1,2,1,2,9628,,9303,755,35,0.5,620,657,2,1,5,18103,1257,,,755,,0,102200,93166,40462,16190,254,2555
-1,6,1,2.16667,0,1,0,1,1,7261,,32814,364,9,0.285714,552,870,0,0,5,81949,30900,,364,,,0,152755,6699,2937,7261,13210,5364
-1,3,4,3,1,3,1,3,1,688,,11011,9616,25,1.25,211,389,1,0,3,27093,19428,,,1334,17897.5,2,161,4392,63,1049,2,156
-1,0,7,,3,,3,,2,3531,,,6909,,8,276,0,1,,0,,,,251,620,13443.7,9,4351,810,28496,932,57,32239
-1,4,3,2,1,1,1,0,1,261472,,47085,79,2619,0.8,459,685,0,1,4,100434,130755,6,224,,,54577,8640,279072,222,17273,1366,10132
-1,0,7,,3,,2,,3,147,,,1122,,8,339,0,1,,0,,,13,196.5,1054.67,4282,1001,388,689,119,1711,49396,8165
-1,7,0,1.28571,,1,,1,,,,73025,,33,0.125,0,501,,4,6,96929,115460,,,,,6,12882,1752,1078,191,1017,252
-1,2,5,1.5,1,1,1,1,1,71,,17805,434,3,2,245,1108,1,4,1,32500,2373,57,119,664,,7,11336,5781,53313,73436,16200,63423
-1,0,7,,0,,0,,1,6298,,,337,,8,737,0,1,,0,,,27.5,,902,,27287,1535,8839,15,1473,388,737
-1,7,0,2.14286,,0,,1,,,,8293,,4589,0.125,0,596,,2,7,8822,4529,,,,,13,19081,376,646,3751,830,18127
-1,6,1,1.66667,0,1,0,1,1,7314,,2258,74,56910,0.285714,1547,1247,1,2,4,4853,,,74,,,13,4885,2428,4289,34945,91531,24825
-1,0,7,,5,,8,,2,22975,,,7610,,8,331,0,1,,0,,,,,476,9987.67,90574,20074,4510,169593,53429,4161,36
-1,7,0,1.85714,,2,,1,,,,15816,,66,0.125,0,1363,,1,6,24971,,,,,,-10058,9773,2524,-6,8832,4353,12914
-1,1,6,2,2,2,3,0,2,32,,21873,3672,2,3.5,400,1532,2,0,1,32899,32899,18,148.5,1079.5,19555,7537,4129,5895,11400,12702,49346,2747
-1,4,3,2.5,0,1,0,1,1,5030,,6726,27,49,0.8,858,1559,0,2,4,12549,5036,6,68,,,21,155197,624,11319,58,5633,374286
-1,5,2,1.6,0,1,0,1,1,7,,15299,121,517,0.5,901,2384,2,2,5,20311,11864,,120.5,,,48982,1752,834,1574,9981,5,129858
-1,0,7,,1,,2,,1,220979,,,723,,8,372,0,1,,0,,,17,98,928,2145,0,481222,99,4,2470,42126,117602
-1,7,0,1.71429,,1,,1,,,,17782,,55181,0.125,0,1069,,2,6,35040,23048,,,,,106,254078,33,43893,1635,101009,3696
-1,0,7,,4,,2,,1,1133,,,733,,8,568,0,1,,0,,,,164.333,997,1650,1,4038,29170,6858,16210,6734,7741
-1,0,7,,1,,1,,1,59,,,697,,8,950,0,0,,0,,,1,151,707.333,2454,4455,61721,13130,410226,54733,8495,231871
-1,1,6,3,6,1,11,0,6,142,,2403,794,2,3.5,834,609,0,0,1,5158,5158,,280,656,2097,3,172,5,6,1031,13,1376
-1,2,5,2.5,1,3,0,2,1,418,,5396,6911,11664,2,346,706,0,0,2,14293,5908,,,1253,8326,1075,5,1847,98,7,22,1505
-1,1,6,4,6,0,6,0,3,88514,,14215,5267,3,3.5,599,290,1,0,1,23719,23719,,,,5267.17,56057,125,6099,74279,193,15692,4550
-1,4,3,2.25,0,2,0,1,1,20394,,37492,708,9,0.8,181,737,0,1,4,95735,32198,,402.5,1318,,0,21828,2921,33,25822,30233,9855
-1,6,1,1.66667,0,2,0,2,1,107,,19016,73,513,0.285714,162,1958,0,1,5,25480,23168,,73,,,8432,283595,354298,58877,59052,107,498621
-1,1,6,8,2,4,1,0,2,12003,,13072,4254,6,3.5,422,409,1,0,1,49013,49013,,82,1564,5968.75,15,2978,1830,5235,241,13,991
-1,5,2,1.6,0,2,0,1,1,10759,,15603,637,1648,0.5,670,3086,0,3,5,20760,10448,,,637,,21,11591,8623,1395,9,3003,7081
-1,1,6,3,2,0,2,0,1,907,,857,683,37,3.5,258,819,1,0,1,1863,219,,156.25,886,2586,306506,108169,15,8,93,14,13
-1,6,1,1.33333,0,1,0,1,1,195777,,2467,16,3505,0.285714,465,918,0,0,6,2714,2468,16,,,,6,31688,5427,16109,20753,5665,1624
-1,7,0,1.57143,,2,,2,,,,4176,,63981,0.125,0,415,,2,7,6513,10526,,,,,0,5692,193,10036,11611,68727,3114
-1,3,4,1.33333,2,1,1,1,2,306238,,1256,4029,4260,1.25,637,1029,1,0,3,1420,1598,,145,1210,14615,95634,10002,19939,6,2383,101241,1125
-1,2,5,1,3,10,5,4,1,78506,,3099,486,63,2,404,918,0,1,2,3099,3099,13,238,1453,,291187,48501,11884,22,34456,158606,43200
-1,5,2,1.4,0,1,0,1,1,56856,,2247,1235,22823,0.5,153,530,0,0,5,3384,3384,59,,,2410,3,80712,23043,5837,4097,27584,143
-1,0,7,,0,,0,,1,92897,,,303,,8,639,0,0,,0,,,31,294.75,879,,3,3091,4280,15944,23,52956,3300
-1,7,0,3.14286,,0,,0,,,,23942,,25,0.125,0,2289,,0,7,67362,42852,,,,,0,4896,2762,11667,6327,4112,34861
-1,3,4,4.33333,3,5,5,2,2,118928,,12686,2626,15,1.25,1134,1077,1,0,3,25724,12078,,339,1067,4548.5,10923,76,688309,106488,8756,32925,89492
-1,3,4,1,3,4,0,1,3,89313,,2228,604,107837,1.25,394,740,0,1,2,3230,2051,11,,802,,33055,1577,112,41,1577,2442,3323
-1,5,2,2,3,5,2,6,1,423104,,9011,2131,265,0.5,351,1680,1,1,5,14830,13763,,399,,3863,9964,5736,8570,356436,660613,479306,109425
-1,6,1,1.33333,0,0,0,1,1,136,,2776,22,7,0.285714,310,2430,0,1,5,2990,4037,22,,,,3,1203,12611,7483,118,20,136
-1,7,0,1.57143,,1,,1,,,,26817,,117634,0.125,0,1751,,1,7,48056,52408,,,,,40139,41786,45971,20204,11286,100,43073
-1,4,3,2.25,0,-1,0,2,1,67207,,11302,630,7,0.8,657,944,0,1,4,16150,,21,80,,1789,12,871478,2093,10238,272,11482,5
-1,4,3,4.25,-1,2,3,1,1,62,,29510,488,2537,0.8,225,731,1,0,4,142543,7027,,89,1287,,0,20513,95,8675,323370,116917,54
-1,6,1,0.833333,2,1,0,1,3,617708,,120446,2396,47551,0.285714,297,1177,0,1,5,120446,120446,,,,2396,25,8563,1632,1578,75,11105,79
-1,3,4,1.66667,3,2,5,1,3,603547,,36197,1291,20929,1.25,376,2678,0,4,3,36573,35821,,220,1137,3586,71988,70283,194598,1782,1397,377530,130905
-1,0,7,,1,,1,,1,315,,,230,,8,2076,0,1,,0,,,28.75,135,680.5,,259869,1279,66,21,69,63,46
