#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18
-1,16,2,1.375,0,0,1,1,1,23,,35066,28,14711,0.176471,158,899,3,1,14,44163,53794,28,,,,0,81050,28259,29115,21726,1076,159,8419,22233,7117,19471,123709,81360,21581,40597,94815,25434,194969
-1,5,13,0.8,0,0,1,0,1,264046,,8501,5675,194,2.33333,1779,1404,1,3,2,12579,6461,9.4,236.5,832.5,35557,5,142,8630,1062,378,9653,24805,149682,76551,1451,38738,1136,84831,142,34640,13588,10712,389
-1,1,17,2,5,2,10,0,2,11927,,33002,4473,31,9,472,476,1,0,1,53875,12128,41,178,953.333,8203.25,0,169,33,28,7,6,75,4,738,1213,403,287,31,5413,12,7,15,16
-1,15,3,1.93333,0,0,0,1,1,564100,,61586,18077,471,0.25,552,1031,0,2,15,70400,75976,64,,,54104,64,251,1968,8747,32,3398,10061,16531,5149,190,3086,957,1760,18507,3180,12623,44649,304
-1,12,6,1.66667,2,1,2,1,2,88602,,24059,1656,53240,0.538462,414,769,0,1,12,26227,31289,,259.667,639,4260,0,42291,75797,134574,13,43587,275,41789,128041,103738,37111,177480,10952,238943,32996,20430,51,36535
-1,2,16,1,6,2,13,0,2,7810,,104627,1822,852,5.66667,726,1259,1,2,2,104627,104627,45,254.25,706.5,5506,11,39450,29,862,287,1219,141,409,1160,178,1291,1001,5723,1325,353,1122,306,2466
-1,18,0,1.72222,,1,,2,,,,10444,,2865,0.0526316,0,269,,0,17,17588,4032,,,,,89331,2846,80,4555,1219,73470,58,39,39,5855,1431,1364,1418,5579,3206,5358,14819,2769
-1,2,16,1,0,1,1,0,1,254354,,6107,1045,8,5.66667,346,1591,1,0,2,6107,6107,34,198,850.5,5182.5,0,2897,5,4,94134,9,6,8261,440,1137,5992,20,9,520,5,30,22,5039
-1,1,17,1,1,2,2,0,1,31793,,15358,1358,15,9,358,695,1,0,1,15358,15358,8.75,282,973.5,8588.5,140233,7,7,3,1312,4410,690,3217,632,248207,6,206,8698,8,19841,61474,31137,8408
-1,11,7,1.90909,0,1,0,2,1,183436,,16139,926,15679,0.666667,359,947,0,2,11,30112,20434,1,,837,2299,0,107142,290811,59962,14660,53244,282,11,6730,529,10,600,7999,21,42,791,5834,3335
-1,0,18,,1,,1,,1,26617,,,581,,19,504,0,1,,0,,,24.5,236,825,3600,0,7898,23,5669,1494,9,28,403420,39912,8,169,7,9,240,1428,2400,4295,1
-1,18,0,2.05556,,1,,1,,,,26805,,1019,0.0526316,0,250,,1,18,30923,27584,,,,,9,89,30,683,2855,3489,13270,819,39,1088,26449,216,37412,64,33820,143,51,288
-1,17,1,1.70588,0,0,0,1,1,236810,,7873,594,8,0.111111,1157,1328,0,3,12,20245,789,,,594,,13,97,869,263,116,1321,110,23,108,3566,1328,98,73,21,114,515,27,636
-1,0,18,,2,,3,,2,3697,,,6162,,19,835,0,1,,0,,,22,154.667,573,10923.1,28084,15,13544,22,666,5773,33,8512,1076,59,3897,2352,53,2655,2474,19,416,39
-1,1,17,2,2,5,2,0,2,3269,,25690,3157,9,9,690,745,1,2,1,44137,44137,48.5,159,712.25,6281,19,15635,4290,1562,27391,10071,9573,10594,25,5081,69751,1253,80307,13,27,497,731,5703
-1,0,18,,0,,0,,1,145107,,,2066,,19,238,0,0,,0,,,13.2857,197.667,776.5,15925.5,1852,13,64,11,15,25,5400,1393,10,2340,10052,10,4651,253,1666,7,4,2885
-1,5,13,2.6,1,1,2,1,1,57813,,21438,1272,7,2.33333,351,1514,2,1,5,42483,11305,26.5,154,854.6,5925,7,2557,4,40295,15949,121150,286305,190375,27291,2887,597970,16511,10729,30981,15810,2176,729,3604
-1,2,16,3,1,2,1,2,1,370,,17379,2380,800,5.66667,429,460,1,0,2,78137,2500,3.5,243.5,672.714,7623.5,5,5441,386567,901072,193,8244,1721,7221,1345,2721,11548,294,6770,10462,1181,268,5329,15
-1,0,18,,4,,6,,2,525343,,,3903,,19,365,0,1,,0,,,56,179,846.4,7269.56,0,1149,54746,26305,111960,28189,183595,13,11,3,6,3,4,14,5,12,57,3
-1,1,17,2,2,0,2,0,2,5,,111789,628,5,9,244,522,1,0,1,218276,5301,28.8571,206.5,882.857,3885,0,192742,1108,24,249,40,11,4151,146,1456,189,3,2513,1763,4197,2661,186,1154
-1,7,11,0.857143,1,0,2,1,1,139611,,6927,1703,2490,1.5,766,1252,2,1,5,9493,9493,6,229.6,692.333,7749.5,174524,46134,4092,7325,283,1109,51792,8874,1221,8993,27390,2624,16,102,13,5797,61,296
-1,16,2,1.3125,0,0,0,1,1,4598,,8237,108,421,0.176471,220,1051,1,1,14,9561,8709,,108,,,7,2308,684,5705,11567,725,9051,2545,1703,1188,244,11735,20218,9479,3490,31335,6222,2147
-1,10,8,2.5,1,2,1,3,1,3691,,7345,358,1238,0.818182,345,572,1,3,10,17378,8275,1,214.25,825,,0,5561,1298,1798,223,12,24,1179,4251,1336,209,10,964,26,726,908,344,144
-1,9,9,1.55556,1,2,1,4,1,145,,9110,458,7526,1,269,543,1,2,8,12344,6599,31.6,334,770,2092,0,17540,2923,10112,6997,1272,7,63,1297,13,305,26,1517,5748,1370,21,1205,2782
-1,14,4,1.21429,0,0,0,1,1,208136,,3663,233,49444,0.333333,268,248,0,0,10,4344,1227,49.6667,,784,,1,28,337085,14372,56213,5780,356114,3042,38,9917,13216,5,7,33095,17136,5829,10268,14315
-1,8,10,1.75,2,1,2,1,2,3283,,19617,13233,96852,1.22222,440,781,2,0,8,33403,34910,22.5,317,1271.5,29048,7,2151,3360,28652,101098,151128,14523,28265,6063,8505,26353,9443,7304,6340,12253,7548,154111,9983
-1,1,17,3,2,1,2,0,2,1102,,6791,5064,3,9,263,239,0,0,1,16368,16368,30,200,1534,6471.15,173,63,2,59,54,13,2,101,7,234,858,15,51,4,102,30,1,13
-1,18,0,1.66667,,1,,2,,,,8862,,35,0.0526316,0,293,,2,17,12482,9967,,,,,126621,541377,523,8583,9772,18585,125089,108,130,45,299,823,1559,541,1121,54,75,1202
-1,1,17,2,1,0,1,0,1,30158,,5199,622,10,9,631,7358,1,6,1,5865,,30.1429,179.5,904.667,6569,14,58,29,18,1465,7,24,29,2090,1917,8,22,28054,17,66,11,2769,24
-1,9,9,3.66667,2,4,4,3,2,5062,,21810,3369,2310,1,419,362,1,1,9,75893,21386,1,78,976.333,6829,116159,2981,208,1202,10430,3789,23381,18,31,1721,217,7068,710,1530,30923,4899,3,36595
-1,2,16,1.5,1,1,1,0,1,12066,,1351,393,16,5.66667,293,763,1,3,1,3096,386,8.66667,226,708.25,2267,11,31,1509,5,1068,121,24,120,7207,8,12,4,739,191,183,215,975,581
-1,1,17,17,2,12,1,0,2,2920,,17801,13269,3,9,699,739,1,1,1,188328,15449,16,167,1047.25,24311.8,142,18,6,75,10,900,36,24,32,330,25,20,19833,1746,4,12,3964,9
-1,9,9,2.88889,1,2,1,4,2,99858,,45364,5808,30,1,331,397,0,1,9,52895,44504,40,385,698.5,12944.7,0,102015,7513,4931,66140,185,594,6720,41,1725,20360,1521,1474,18039,19100,2153,594,1226
-1,0,18,,3,,2,,2,293,,,532,,19,1176,0,2,,0,,,33,262.5,711.875,2210,14453,13,533,832,743,1137,901,1732,1,5,4904,3954,11068,16347,3,2537,1783,3736
-1,4,14,0.75,0,3,1,1,1,69513,,829,2601,423,3,237,1019,0,1,3,829,427,20,192,1317,4552.29,169904,35115,2819,40280,2543,38810,30350,5749,30255,12956,73409,171336,316836,208720,107990,4324,18871,67871
-1,18,0,1.72222,,0,,1,,,,28436,,825,0.0526316,0,196,,1,18,54559,28250,,,,,0,10161,1155,27,10010,1563,120,40,3071,4122,1428,7717,2503,1118,29,9359,9558,1577
-1,12,6,1.91667,1,1,0,1,1,17,,6644,207,609,0.538462,322,1576,2,1,11,11789,6549,18,193,804,,5,4401,18783,24747,61385,1149,9,4,1382,1522,97,1301,54,207,1754,20,3761,2817
-1,10,8,3.7,1,4,1,8,1,1278,,14833,1796,2668,0.818182,734,981,1,1,10,52590,25558,,321,735.5,4653.5,20,438,955,1064,12,39,5345,9289,4595,9,10,3420,7,574,128,2801,12977,92
-1,0,18,,4,,6,,2,12569,,,1869,,19,622,0,1,,0,,,19.5,215.333,959.909,11196.5,14,8,4176,4590,27259,56126,15914,1255,85424,19887,43323,170101,38858,105134,173198,2,9,97606
-1,1,17,0,1,0,1,0,1,7371,,,1032,,9,805,3387,2,0,0,,,24.8,191,926.8,2480.2,9,49763,25552,142,94,29,24,4118,6,119,192,4125,96,823,1734,147,171,2847
-1,0,18,,5,,8,,2,88006,,,3660,,19,1193,0,1,,0,,,,138,1093.2,6584.38,0,2990,17152,1,3,9,5,2,6,20,2,5,12,4,6,53362,5,12
-1,18,0,0.944444,,0,,1,,,,15384,,9106,0.0526316,0,2307,,5,11,16821,16128,,,,,4,38346,36611,12910,1306,4415,26,9970,27304,4240,116,799,40,319,70,1701,4569,8280
-1,3,15,4,2,2,2,1,2,14708,,3475,2550,82,4,412,852,0,0,3,8976,3299,28.5,317,781,5237.67,0,29,28,274,1355,3153,638,206,305,1248,709,9523,1232,318,30208,956,6018,3610
-1,4,14,5.5,7,9,12,8,3,24820,,20760,6969,11,3,862,1382,1,0,4,88382,20786,41,195,921,9916,0,841,6257,1086,20184,120,1110,11,3312,1895,15,32,167,1045,264,10,511,4
-1,0,18,,1,,1,,2,24,,,1167,,19,661,0,2,,0,,,16,147.5,894.5,6593.5,0,561,127,3844,425,18,760,583,33106,157,759,10136,39388,103794,6625,40014,2263,102
-1,14,4,2.28571,1,1,0,1,1,23958,,47193,2076,43,0.333333,216,687,0,3,14,60236,63365,,127.333,,7922,2,108,128343,9888,73,8563,128430,13739,500,93,18647,20134,1730,2787,5643,15901,192116,673064
-1,18,0,1.94444,,0,,0,,,,12558,,13,0.0526316,0,840,,1,18,17982,15781,,,,,4,912,416,208,1048,1469,220,1178,1620,1296,186,141,1102,125,1298,436,1122,49
-1,13,5,1.15385,0,2,1,2,1,1727,,11253,1385,81501,0.428571,574,1274,1,1,12,12807,16920,,330,549.5,5165,0,85954,179184,900,13391,3888,39240,6844,2670,10213,28741,2998,20254,1842,22494,4239,51996,12861
-1,2,16,3,3,10,3,7,2,895,,36305,3880,9,5.66667,411,347,1,0,2,56024,35041,3,96,983.5,7010.62,0,141527,1354,260,1137,11,264,412,727,11,3,307,62,9,24,589,772,1689
-1,1,17,1,3,0,4,0,1,61053,,26870,2925,2881,9,2137,2076,2,3,1,26870,26870,58,,860.6,8200.6,259237,2881,1396,377,1831,701,1617,427,1418,826,31,1225,232,952,503,153,113,342
-1,17,1,1.58824,1,1,0,1,1,2582,,16725,173,1181,0.111111,176,455,0,0,17,24266,33080,,173,,,24464,124,6856,3079,24310,4233,3208,5757,1399,1442,28584,7313,8646,41869,24417,4221,123898,32935
-1,11,7,2.45455,1,2,1,1,1,101335,,6295,801,354,0.666667,863,972,0,0,11,14888,3856,31.5,,858,2113,10848,7077,52382,338,1114,933,23868,84605,1311,6709,50500,1374,19,1908,61737,3778,34765,1281
-1,2,16,9,3,17,3,14,1,89947,,4084,5017,5,5.66667,798,426,0,0,2,14722,3393,31.8333,216.5,1003,19302.2,5,1439,194777,1111749,6988,5,1655,80987,270170,60452,31658,50494,4581,44109,1,46221,125230,4
-1,17,1,1.35294,0,1,0,1,1,11860,,13575,101,1376,0.111111,204,815,0,2,14,19103,12156,,101,,,27297,3387,805,3331,954,363,1132,3521,4290,3709,50937,628,5237,10879,8788,11860,14040,4286
-1,17,1,2.11765,0,1,0,2,1,14610,,9941,82,1369,0.111111,589,456,0,1,17,14292,11829,,82,,,6,2148,1447,772,239923,16374,147862,173456,39387,2587,166370,2307,1490,12060,1664,885,36398,22849
-1,10,8,5.1,3,40,5,110,1,11571,,17556,11352,43,0.818182,395,570,1,1,10,57297,13823,,82,817.5,19436.5,0,8,5375,18,2907,14465,119,1428,3166,24351,5545,14462,20020,5491,7485,8598,2812,14658
-1,15,3,3.53333,2,3,0,6,1,821,,20752,3145,596,0.25,259,289,1,1,15,64366,57291,,,,3145,7499,786,30528,1117,151,118,36,1242,199,45,97,4146,45,87,1084,1341,55,465
-1,6,12,3.66667,1,2,2,2,1,188549,,16028,1396,13,1.85714,1020,2599,2,3,6,58336,21389,31.5,223,1409.5,3341.5,89521,11,1541,821,3379,174,5102,3069,16,20163,24380,4693,57,1464,1522,41576,18265,10471
-1,10,8,9.9,3,116,3,280,2,1664,,14604,5683,5,0.818182,448,857,0,1,10,75033,24094,,270,,7848.2,1195,1364,313,5396,1565,205,6,29,1283,1300,20,5930,2688,10277,1560,4362,365,670
-1,17,1,3.23529,0,1,0,4,1,994,,9620,174,60326,0.111111,828,1539,1,2,17,20526,12890,,174,,,0,1915,3188,994,299,136267,300138,2947,159242,149616,3519,2149,49151,1292,5700,340,7633,2871
-1,6,12,3.16667,3,3,4,2,2,6856,,16099,11698,5,1.85714,511,459,3,1,6,35189,25249,,186,1200,17986.4,11,2532,1143,1,7502,2910,190,186,5140,31921,23536,41098,49067,18805,19158,2,1158,1291
-1,3,15,2,2,3,3,1,1,29791,,11755,3317,723,4,317,1080,1,0,3,13070,11198,47,308.333,861.75,7739.6,0,22,146,1129,380,1160,4806,1058,2948,1401,1320,16718,1209,8138,5027,6475,2,1355
-1,2,16,3,1,3,1,0,1,25520,,17027,1911,8,5.66667,224,680,1,0,2,62577,2757,43.25,220.2,775.833,24648,2771,26,2210,3,16517,248,30,339,1051,11218,182,98,141,16,4411,1256,1194,496
-1,10,8,6.3,6,16,17,21,4,634,,16269,20120,49,0.818182,226,514,1,1,10,54402,22409,,345,1394,26536.3,11499,2111,1782,1829,2348,138,2902,1199,538,17033,201,89,587,617,73,107,5639,2569
-1,4,14,7.5,1,5,1,4,2,6340,,9995,8671,3,3,317,207,0,1,4,29275,8932,,,849,9382.27,12,6,3,6,19,5,5462,15,5,53,5,4186,172,2,40,6,43,1
-1,3,15,2,1,1,1,2,1,5103,,48134,1142,20,4,544,1136,1,1,3,95630,95630,29.8571,294.5,804,4979.33,0,30765,179456,35753,34,2654,91347,202852,11,3,340,2190,22,19,17367,2786,2,12
-1,9,9,2.33333,1,1,1,1,1,323920,,1262,1175,632,1,514,390,0,1,9,2760,886,1,172.333,782.333,7706,0,4350,1202,203,50,1109,3,14,95,3,135,17,3,1109,11605,4282,251,2531
-1,9,9,1.55556,0,0,0,0,1,37,,15302,336,234,1,294,957,1,2,8,18950,18693,25.6667,270,712.667,,12,10,10041,8,52,9637,2970,278494,97593,11,1586,40,85031,27,17329,31672,2845,8
-1,2,16,3,0,1,0,0,1,6761,,53775,473,31,5.66667,506,338,2,1,2,148278,13413,27.6667,250.4,973,2252,0,1058,775,19,6,26,550,18,818,2448,147,7,11,6,6,257,42,6
-1,2,16,0.5,1,1,2,0,1,17,,2215,819,34,5.66667,606,2137,2,3,1,2215,2215,13.8571,273.5,976.8,3788.5,2473,56807,113226,1912,37266,2733,50,6294,1019,1928,652,4,377,4786,1019,35,9637,389
-1,3,15,2,4,6,8,2,2,27828,,21726,4105,123287,4,921,1516,1,2,3,21994,1268,32,146,1010.5,9505.17,0,58,5,79,1356,272528,4727,529872,130737,236211,2432,67080,21,2496,208,232,1986,357
-1,18,0,1.5,,1,,1,,,,23928,,46900,0.0526316,0,624,,2,15,40234,79937,,,,,101727,404,40615,5914,479,10480,29975,13341,6782,1842,77738,84739,24,1645,261836,34688,34705,50027
-1,2,16,1,2,1,2,0,2,10,,339,2278,29468,5.66667,412,2584,2,1,2,339,339,20.7143,213.75,589.667,16835.5,132522,43770,38270,16203,69,1879,1276,3558,39,16,477,134,25,5,30,12,128858,7
-1,1,17,2,1,4,2,0,2,198,,45919,2534,2,9,499,353,1,1,1,89939,89939,17.3333,147.5,1032.17,11237,948,9,4,276,178,14,782,443,20,895,1710,11,1266,6,141,4448,105,37
-1,16,2,1.9375,1,1,0,1,1,2,,16109,303,40,0.176471,244,1237,2,2,12,24732,14944,33,,572,,389,27242,36081,20196,34494,7100,5558,467,31214,31839,8701,8307,423,21621,5360,31,1880,1367
-1,17,1,1.82353,0,2,0,2,1,9731,,20097,1156,1560,0.111111,211,1207,0,1,17,26813,24217,,,1156,,71861,8540,162703,26142,12933,124,1135,20146,368,5728,3036,967,586,1194,4459,5202,14465,176
-1,1,17,8,1,29,2,0,1,9781,,4100,6755,0,9,358,1722,0,1,1,7398,3757,,72,838,8077.57,9,2,1,3493,4037,2426,4,1523,1416,82,12,6,11,9468,2,7952,1,24387
-1,8,10,6,14,7,24,5,4,139356,,23153,8454,53,1.22222,632,837,1,2,8,85399,32159,,,492,9591.29,15080,4521,6,1572,23,25844,430,8551,101,75,9513,473,6,2385,13516,17,1233,2345
-1,1,17,3,1,1,1,0,2,14302,,1482,1039,10,9,602,1379,2,0,1,2276,1473,18.1667,274.667,817.667,5908,211486,489,14821,179,2920,2669,2159,16,15,31,2665,1253,13,930,3240,30,1505,4083
-1,15,3,1.86667,0,0,0,1,1,22272,,12396,2648,139,0.25,742,1087,0,1,15,16496,7753,,196,,7553,9,1322,98,11260,282,12,777,1601,24814,28382,4680,8175,30669,4075,20351,7201,61627,35447
-1,0,18,,1,,1,,1,16729,,,1298,,19,496,0,2,,0,,,23.5,137.6,913.2,13498,7,62947,34215,1432,21417,42,18,60,1378,4,62,202,94,50,2,10832,4301,87141
-1,0,18,,1,,2,,1,3575,,,2038,,19,405,0,1,,0,,,26.25,244,1256.5,5304.4,1,3,250,1371,45888,20490,21327,4,2781,8671,20383,37229,19,1236,173,1460,16076,2956
-1,3,15,1.66667,2,1,2,0,2,84200,,76473,1496,64,4,738,3602,1,1,3,110970,72291,21.6667,245.667,955.667,5302.67,24,41807,17941,36832,57970,47349,5,15,61578,234,46,14571,3,119662,22635,9123,12316,14916
-1,2,16,1,2,3,3,2,1,31174,,34912,4577,685,5.66667,702,1507,1,1,2,34912,34912,12,,598.5,6130.55,7,2382,166,2608,1350,1350,40465,78354,162372,112263,80601,40371,2565,7327,15032,116,1939,29
-1,14,4,1.57143,0,1,0,1,1,4121,,28083,135,13589,0.333333,444,541,0,0,14,51884,3680,,135,,,1050,371,762,140,35,5552,1562,3,7450,9814,1671,2546,5925,1608,1102,7400,1395,269
-1,0,18,,2,,2,,2,19,,,321,,19,462,0,3,,0,,,14.5556,182.333,585.4,2180,0,583107,17,108,9,201,6,181,3,10,10,29,69,17,2,13,67,14
-1,12,6,1.91667,0,0,0,0,1,16444,,3030,23,8175,0.538462,345,1886,0,2,12,5902,1536,23,,,,110353,43035,6423,786,3290,2644,602,4164,1397,5757,2468,1376,1423,81,1224,3,5315,2055
-1,9,9,2.55556,2,2,4,2,2,24,,9963,4340,176789,1,275,1067,2,3,8,20579,4952,12,,1170,7108,0,1939,3400,79619,25,1279,105,1259,1518,5875,1068,12,3331,9965,1571,7103,60,11089
-1,7,11,2.71429,0,1,0,1,1,19,,39474,735,5,1.5,237,1252,1,2,7,79207,31957,6.75,224,582,2266.67,0,324,19,20,142,2586,29,4445,17,1183,32,6,4267,7693,888,8559,4293,323
-1,0,18,,1,,1,,1,164581,,,744,,19,955,0,1,,0,,,28.8182,295.25,,3966.67,24,11,372,50,689,16,12,18,332,18,950,39,82,4,11,1428,7173,703
-1,1,17,4,2,1,2,0,1,323,,8607,280,639,9,759,988,1,4,1,16156,,20.6,193.571,659.6,,18788,5734,4,975,338,27,59,21,991,71,5815,1704,75,3,971,1468,17337,1623
-1,1,17,1,0,1,1,0,1,18480,,18766,1491,235,9,845,3254,1,3,1,18766,18766,5.2,237.286,731.5,7399.33,65,344,2109,17,28,114,10224,33,170,138,23,11,1173,15,187,75,809,30
-1,1,17,2,5,0,13,0,2,4577,,1985,4683,26,9,514,1016,2,0,1,2757,,54,250.667,1035.8,9849.86,20,13,12,4,965,92,144,11,19,6,4,934,61,4,11,645,1157,9
-1,13,5,1.69231,2,3,2,4,1,12,,31891,3670,68624,0.428571,526,1232,1,1,12,42771,32501,,,464,4472,62,13,4476,17125,9874,15911,7089,1925,2435,163,282,2710,1410,1386,4409,1126,11,1507
-1,15,3,1.06667,1,0,0,1,1,504,,12298,76,308,0.25,269,551,2,1,10,15654,15654,2,113,,,11,15997,2769,4368,6471,13515,2776,11508,40000,1979,21213,9750,23861,1507,2390,14641,0,9675
-1,16,2,2.1875,0,1,0,1,1,36,,18727,625,28,0.176471,580,1037,1,2,16,30273,16573,27,,1222,,59937,4053,2816,27,4385,3258,4051,12963,1713,5515,33652,4085,8707,11188,7028,23002,97,3200
-1,15,3,0.933333,0,1,0,1,1,151900,,15745,142,2797,0.25,251,1789,0,1,11,17204,18919,,141.667,,,0,22856,75967,1552,8143,22323,4228,25103,663,8656,1029,29703,11279,21581,40917,700,1495,1237
-1,5,13,1.8,1,0,1,0,1,130,,7820,1432,2040,2.33333,327,761,1,1,5,16436,12533,29.5,,862.5,3886,12707,292638,72,8492,1488,178601,28510,1377,3,11881,40227,2822,12,4188,1406,100,162,3
-1,16,2,2.25,1,0,0,1,2,3297,,24073,159,9447,0.176471,479,1624,0,1,16,54373,52894,,159,,,0,65409,30605,10072,73169,221743,3197,79956,66882,119590,30838,6395,18598,2603,2535,2996,3397,5409
-1,0,18,,1,,1,,1,102358,,,3872,,19,505,0,1,,0,,,24,174,794.25,8865.71,4,7,112,3216,6,4,4,16,590,475,4,10,8,7,1087,54,91,136
-1,1,17,1,1,3,1,0,2,7,,53875,5525,15,9,378,723,2,0,1,53875,53875,,317,996.714,13947.8,0,1462,39,5,231,11,215,1274,20,69,3,5,12,47,1,1,90,2
-1,3,15,1,1,0,2,1,1,61100,,1175,280,99,4,1363,124,1,1,2,1580,,24.375,164.4,1537,1653,4,34,28,10,11642,9973,30,3,5650,7411,25600,12,6022,9,4066,21,1281,29108
-1,17,1,1.58824,0,0,0,1,1,107982,,2574,479,13323,0.111111,167,323,0,0,17,3313,2739,,,479,,72939,1153,16,894,1160,13036,44,60528,5634,48,5937,980,21200,22,1378,42,441,11767
-1,18,0,2.61111,,0,,1,,,,8875,,8,0.0526316,0,560,,2,16,24484,24596,,,,,0,4274,2959,19968,2732,217,5796,2555,1836,3980,1387,1463,310,1180,201,75,5468,181
-1,0,18,,1,,1,,1,117333,,,800,,19,929,0,1,,0,,,12.6667,200.833,730.6,2377.25,334430,81,134,9,4,14,7,12,38,255,7,20,5,5,689,82,315,27
-1,0,18,,2,,1,,2,41,,,763,,19,553,0,1,,0,,,28.25,171.75,1116.25,2006,20,16,9,7,27,61,6,24,15,3,9,8,21,12,224,15,13,86
-1,18,0,2.16667,,1,,0,,,,17312,,32224,0.0526316,0,824,,1,18,27666,25321,,,,,4,16894,29431,11409,4622,1337,988,1765,4324,117,6899,1304,2416,545,1097,326,94,406
-1,15,3,1.66667,1,1,1,1,1,5460,,6574,99,4004,0.25,885,2589,0,1,15,10175,2401,,99.3333,,,7,84820,11600,8750,8451,14357,28775,70609,89850,67268,202549,40519,958,4727,11473,18946,136539,8304
-1,3,15,3,2,2,2,1,2,8,,6708,847,17,4,368,423,1,1,3,21699,9127,25.5,173.75,632.333,4982,9,18,8,35,1392,2,74,444,986,1,2,2705,58,5,4004,114215,23235,18672
-1,0,18,,2,,4,,1,130212,,,436,,19,1031,0,0,,0,,,21.3333,192.75,1196.5,1891.5,139,1251,141,123,6,5467,8,653,19,30,1057,15,4523,19,11,14,30,10153
-1,6,12,5.5,1,5,1,7,2,80,,11345,3724,4,1.85714,472,712,1,0,6,27853,7655,,78,902.25,5856.57,12,15,721,12,881,163,365,10,662,41,383,143,1049,228,337,16,686,172
-1,0,18,,2,,2,,2,211,,,4321,,19,777,0,2,,0,,,,432,906.167,7367.38,0,34878,67396,87749,4,1885,240,18,18046,73756,18751,11821,57,1812,4802,1335,1365,9322
-1,0,18,,2,,7,,2,47536,,,1040,,19,1307,0,1,,0,,,28.3333,300.667,847.6,3350.25,56073,1468,101476,1937,3932,55,31,50,313,123,219,4669,8751,5855,76,866,41,199
