#numposts,avg(#num_answers/#numposts)
257,0.70941364
258,0.82101765
259,0.77374400
260,0.78337857
261,0.77040385
262,0.86665625
263,0.85171667
264,0.75172273
265,0.65457692
266,0.74682692
267,0.76352759
268,0.69378710
269,0.72133462
270,0.77054091
271,0.74810000
272,0.85134000
273,0.73483043
274,0.77110800
275,0.78682083
276,0.73783214
277,0.81690000
278,0.56555000
279,0.83137143
280,0.69263750
281,0.69766364
282,0.72398889
283,0.77945882
284,0.76959565
285,0.79585152
286,0.79021250
287,0.79316800
288,0.78027143
289,0.68527273
290,0.80834167
291,0.73631923
292,0.78224706
293,0.82791579
294,0.68091250
295,0.71526875
296,0.85988824
297,0.64040000
298,0.86438966
299,0.82943478
300,0.65708750
301,0.81713333
302,0.76900476
303,0.81447826
304,0.81832308
305,0.73550952
306,0.70108235
307,0.82825000
308,0.80623200
309,0.85290909
310,0.73719412
311,0.78031818
312,0.77783684
313,0.70750500
314,0.78776786
315,0.76795161
316,0.79414737
317,0.84128125
318,0.80603125
319,0.78825909
320,0.78317778
321,0.74635789
322,0.82719412
323,0.81826000
324,0.86933333
325,0.77145556
326,0.79730769
327,0.71915833
328,0.68192667
329,0.84294762
330,0.78202143
331,0.89368125
332,0.80000667
333,0.73467647
334,0.75208000
335,0.73784545
336,0.70218750
337,0.81344375
338,0.79023000
339,0.70575833
340,0.78530000
341,0.69599444
342,0.71654706
343,0.76531667
344,0.85428750
345,0.67991429
346,0.75187000
347,0.77840526
348,0.78262353
349,0.62580000
350,0.82732174
351,0.54825714
352,0.78787500
353,0.84830909
354,0.63815455
355,0.88510714
356,0.72784444
357,0.78549167
358,0.79469000
359,0.78749286
360,0.88222000
361,0.48864000
362,0.74345000
363,0.90208182
364,0.87742308
365,0.67270769
366,0.73499167
367,0.88043529
368,0.78424000
369,0.87786667
370,0.83347692
371,0.72753333
372,0.68297857
373,0.69947000
374,0.86433333
375,0.71507692
376,0.82996000
377,0.76748333
378,0.75397500
379,0.81850000
380,0.85240833
381,0.79746667
382,0.81471111
383,0.78722000
384,0.88040769
385,0.80420000
386,0.77271333
387,0.86244615
388,0.87305000
389,0.76445000
390,0.89946429
391,0.89181000
392,0.85988462
393,0.79320909
394,0.58628750
395,0.77538182
396,0.73503077
397,0.78560000
398,0.56406000
399,0.97803077
400,0.80250000
401,0.87032500
402,0.92008750
403,0.73998889
404,0.76435000
405,0.69526667
406,0.83218667
407,0.88790000
408,0.77410000
409,0.93398333
410,0.75396250
411,0.84053846
412,0.79016364
413,0.71526000
414,0.73338750
415,0.88724000
416,0.72757778
417,0.77616667
418,0.84837500
419,0.59130000
420,0.92936667
421,0.45485000
422,0.88644286
423,0.77619333
424,0.87095000
425,0.84362308
426,0.79947143
427,0.82363846
428,0.87576667
429,0.70800909
430,0.82686667
431,0.71357778
432,0.78743333
433,0.93327778
434,0.85408333
435,0.90015714
436,0.85071818
437,0.88863333
438,0.79411818
439,0.90564286
440,0.80568333
441,0.82511250
442,0.87456667
443,0.75524167
444,0.84621818
445,0.91648333
446,0.85724444
447,0.86456364
448,0.89452500
449,0.82591667
450,0.88412857
451,0.86302222
452,0.76107500
453,0.89580000
454,0.67576000
455,0.90500000
456,0.93805000
457,0.77879000
458,0.91134000
459,0.73983333
460,0.84907143
461,0.80694000
462,0.73268750
463,0.87904000
464,0.73212857
465,0.82173333
466,0.78450000
467,0.60526667
468,0.90415714
469,0.76060909
470,0.88370000
471,0.76896364
472,0.69862500
473,0.82187500
474,0.90559167
475,0.86735000
476,0.91728750
477,0.91822000
478,0.95330000
479,0.80414545
480,0.88361250
481,0.96021429
482,0.96627500
483,0.92235000
484,0.80956667
485,0.74897500
486,0.75273333
487,0.90531111
488,0.57070000
489,0.96456667
490,0.94745000
491,0.84971000
492,0.97426667
493,0.97570000
494,0.96020000
495,0.97258571
496,0.85000000
497,0.78170000
498,0.74136000
499,0.82564444
500,0.87875000
501,0.77501429
502,0.84662222
503,0.94177143
504,0.87977500
505,0.72102500
506,0.98515000
507,0.89515000
508,0.71128333
509,0.96882500
510,0.99610000
511,0.97260000
512,0.92282500
513,0.93325000
514,0.92840000
515,0.95593846
516,0.89801250
517,0.92650000
518,0.98184000
519,0.76846667
520,0.80705000
521,0.93618750
522,0.60635000
523,0.90540000
524,0.89742500
525,0.93651667
526,0.75557143
527,0.79695000
528,0.73530000
529,0.67740000
530,0.36353333
531,0.92277500
532,0.72144000
533,0.84316000
534,0.84177500
535,0.85482222
536,0.81841111
537,0.74146667
538,0.73193333
539,0.94990000
540,0.94960000
541,0.93437500
542,0.95020000
543,0.94935000
544,0.86141000
545,0.70000000
546,0.91180000
547,0.98490000
548,0.73085000
549,0.81906667
550,0.94398182
551,0.88202222
552,0.88337500
553,0.68762500
554,0.76413333
555,0.93183333
556,0.95000000
557,0.45278000
558,0.75052000
559,0.98032500
560,0.82680000
561,0.99197500
562,0.94973750
563,0.56306667
564,0.91704000
565,0.98230000
566,0.66150000
567,0.88948333
568,0.94131667
569,0.86290000
570,0.91033333
571,0.82312500
572,0.95980000
573,0.67765714
574,0.93586000
575,0.86840000
576,0.80496667
577,0.89560000
578,0.88293333
579,0.94817500
580,0.86675714
581,0.90464000
582,0.84136667
583,0.70926667
584,0.93494000
585,0.95452000
586,0.99206667
587,0.99745000
588,0.98583333
589,0.94000000
590,0.90167500
591,0.86720000
592,0.78800000
593,0.93090000
594,0.92784286
595,0.91763333
596,0.73290000
597,0.94976667
598,0.99610000
599,0.94436667
600,0.92030000
601,0.96507500
602,0.88174000
603,0.91983333
604,0.86700000
605,0.95950000
606,0.88570000
607,0.94302000
608,0.71326667
609,0.95545714
610,0.78854000
611,0.93330000
612,0.58713333
613,0.98040000
614,0.69300000
615,0.96910000
616,0.93118000
617,0.96596000
618,0.96685000
619,0.89420000
620,0.01450000
621,0.95942000
622,0.88530000
623,0.88965000
624,0.73960000
625,0.72920000
626,0.93930000
627,0.92058000
628,0.97450000
629,0.93085000
630,0.61556000
631,0.97463333
632,0.95295000
633,0.92141250
634,0.98505000
635,0.96956667
636,0.53850000
637,0.91757500
638,0.80378000
639,0.81406000
640,0.62553333
641,0.98750000
642,0.99300000
643,0.90590000
644,0.95546667
645,0.99145000
646,0.98995000
647,0.92150000
648,0.82948333
649,0.91342000
650,0.87385000
651,0.99385000
652,0.99183333
653,0.92265000
654,0.97210000
655,0.96386667
656,0.73322500
657,0.96701111
659,0.55010000
660,0.92154000
661,0.99343333
662,0.60350000
663,0.98993333
664,0.90813333
665,0.94700000
666,0.92830000
667,0.86960000
668,0.61466000
669,0.96785000
670,0.80745000
671,0.96125000
672,0.70055000
673,0.97807500
674,0.93025714
675,0.87410000
676,0.95020000
677,0.82776000
678,0.96078000
679,0.97570000
680,0.82940000
681,0.73508000
682,0.92187143
683,0.94585000
684,0.98830000
685,0.98685000
686,0.96430000
687,0.90390000
688,0.78705000
689,0.98985000
690,0.97730000
691,0.86470000
692,0.97147500
693,0.88780000
694,0.75600000
695,0.98990000
696,0.99715000
697,0.87950000
699,0.98456000
700,0.95640000
701,0.97720000
702,0.95767143
703,0.45093333
704,0.86033333
705,0.98913333
706,0.96955000
707,0.98230000
708,0.96300000
709,0.72806000
710,0.99650000
711,0.67886667
712,0.99440000
713,0.92215000
714,0.93370000
715,0.94545000
716,0.98740000
717,0.98610000
718,0.88930000
719,0.51670000
720,0.97220000
721,0.87275000
722,0.95640000
723,0.84163750
724,0.82665000
725,0.97470000
726,0.97933333
727,0.92573333
728,0.83631667
729,0.90260000
731,0.84950000
732,0.96860000
733,0.82065000
734,0.92510000
735,0.94240000
736,0.92483333
737,0.87790000
738,0.88346667
739,0.98240000
740,0.98873333
741,0.99395000
742,0.98880000
743,0.93810000
745,0.95435714
746,0.99065000
747,0.97655000
749,0.96753333
751,0.83155000
752,0.96186667
753,0.72315000
754,0.59708000
756,0.64025000
757,1.00000000
758,0.53360000
759,0.96705000
760,0.91710000
761,0.81656000
762,0.92303333
763,0.81606667
764,0.92908000
765,0.92810000
766,0.55960000
767,0.95020000
768,0.97462500
769,0.98310000
770,0.84196667
771,0.93343333
772,0.95880000
773,0.99870000
774,0.91470000
775,0.85355000
776,0.96585000
777,0.97300000
779,0.94133333
781,0.94326667
782,0.88935000
783,0.94400000
784,0.94592000
787,0.99110000
788,0.12560000
789,0.99913333
790,0.98985000
791,0.97975000
792,0.98740000
793,1.00000000
794,0.99180000
795,0.96730000
796,0.99250000
797,0.80300000
798,0.89470000
799,0.98916667
800,0.97440000
803,0.64130000
804,0.52365000
805,0.92050000
808,0.99010000
809,0.99260000
810,0.91893333
811,0.79165000
812,0.97600000
813,0.99380000
815,0.87180000
816,0.98035000
817,0.82130000
819,0.98413333
820,0.97560000
821,0.91720000
823,0.90566667
825,0.94545000
826,0.94636667
827,0.98670000
829,0.99700000
832,0.97595000
833,0.90280000
834,0.93290000
836,0.98210000
837,0.88770000
838,0.94510000
839,0.99400000
840,0.81665000
841,0.98970000
842,0.98810000
843,0.96620000
846,0.89245000
847,0.81435000
848,0.98465000
849,0.68003333
850,0.93175000
851,0.97060000
852,0.87850000
853,0.78734000
855,0.96432500
858,0.55825000
859,0.98600000
860,0.49190000
861,0.83816667
862,0.91650000
863,1.00000000
864,0.95330000
865,0.99650000
866,0.94170000
867,0.92992500
869,0.99770000
871,0.95640000
873,0.96565000
876,0.83106667
878,0.99770000
880,0.88405000
881,0.98520000
883,0.97790000
884,0.67760000
885,0.95705000
887,0.88390000
888,0.90062500
890,0.98595000
891,0.98090000
892,0.99550000
893,0.99100000
894,0.99660000
895,0.95585000
896,0.98773333
897,0.97325000
898,0.99110000
899,0.75472500
900,1.00000000
901,0.99000000
903,0.94075000
904,0.95547500
905,0.95250000
906,0.99010000
907,0.52150000
908,0.95040000
911,0.94290000
912,0.97916667
913,0.98110000
914,0.88130000
915,0.95190000
916,0.77256667
917,0.07740000
918,0.95205000
919,0.96840000
920,0.95400000
921,0.97720000
922,0.98320000
925,0.99780000
927,0.90256667
929,0.95800000
930,0.99570000
931,0.98676667
932,0.98610000
935,0.99040000
937,0.97903333
939,0.84770000
941,0.74280000
943,0.90455000
945,0.98730000
946,0.96300000
947,0.99160000
948,0.48735000
949,0.82720000
950,0.98895000
953,0.77960000
956,0.85250000
957,0.89345000
958,0.94226667
959,0.98020000
962,0.93815000
965,0.95230000
966,0.99380000
967,0.99070000
968,0.95420000
969,0.97780000
971,0.91760000
972,0.97740000
973,0.94760000
974,0.95072000
975,0.96000000
978,0.99280000
980,0.98130000
982,0.97760000
984,0.94942500
987,0.99190000
988,1.00000000
989,0.98616667
991,0.98990000
992,1.00000000
993,0.99900000
994,0.39740000
995,0.99100000
997,0.95290000
998,0.72090000
999,0.99350000
1001,0.94110000
1002,1.00000000
1006,0.98110000
1008,0.95540000
1009,0.97425000
1010,0.99600000
1011,0.96930000
1012,0.99110000
1013,0.70980000
1014,0.95757500
1015,0.98130000
1016,0.37990000
1017,0.93410000
1018,0.95680000
1019,0.97645000
1021,1.00000000
1024,0.99280000
1027,0.86370000
1029,0.98900000
1030,0.99420000
1031,0.96750000
1034,0.95744000
1036,0.83526667
1038,0.98460000
1040,0.92500000
1042,0.99710000
1043,0.70850000
1044,0.97796667
1045,0.98850000
1046,0.99240000
1048,0.91540000
1051,0.99665000
1052,0.82510000
1053,0.06460000
1054,0.87890000
1055,0.96780000
1059,0.99105000
1062,0.92230000
1063,0.96705000
1064,0.91450000
1065,0.99440000
1067,0.78820000
1068,0.97425000
1069,0.93495000
1072,0.98880000
1074,1.00000000
1075,0.97580000
1077,0.97495000
1078,0.99490000
1080,0.99350000
1081,0.95840000
1082,0.96165000
1083,0.99630000
1085,0.61570000
1087,0.96690000
1088,0.98990000
1094,0.99910000
1097,0.99360000
1099,0.97180000
1101,0.99360000
1108,0.99430000
1109,0.90085000
1110,0.93600000
1111,0.94982500
1112,0.98560000
1114,0.92280000
1116,0.88530000
1117,1.00000000
1118,0.93560000
1123,0.91455000
1126,0.00710000
1127,0.99245000
1132,0.97790000
1133,0.67080000
1135,0.99205000
1137,0.98590000
1140,0.97890000
1141,0.97810000
1144,0.95325000
1145,0.78470000
1148,1.00000000
1149,0.96286667
1151,0.98520000
1152,0.97310000
1153,0.99390000
1155,0.99045000
1156,0.96630000
1157,0.99090000
1158,0.99480000
1165,0.99660000
1169,0.98200000
1170,0.97350000
1171,0.93805000
1178,0.80730000
1180,0.99660000
1183,0.98730000
1184,0.02700000
1187,1.00000000
1189,0.98695000
1190,0.99500000
1193,0.98580000
1195,0.95173333
1196,0.97830000
1197,0.94570000
1199,0.99000000
1200,0.99000000
1202,0.99280000
1203,0.91230000
1205,0.98760000
1208,0.99250000
1210,0.98350000
1214,0.94935000
1217,0.98025000
1220,0.97380000
1221,0.95250000
1226,0.98450000
1228,0.88190000
1229,0.98940000
1230,0.96260000
1231,0.99920000
1234,0.02670000
1235,0.98540000
1237,0.88805000
1241,0.97905000
1243,0.99600000
1247,0.99200000
1248,0.99040000
1250,1.00000000
1253,0.94210000
1256,0.99920000
1260,0.98410000
1263,0.96360000
1264,0.89675000
1272,0.99760000
1277,0.70090000
1278,0.96400000
1282,0.88460000
1283,0.94780000
1285,0.99300000
1288,0.97515000
1289,0.99300000
1294,0.94510000
1298,0.78080000
1299,0.98850000
1300,1.00000000
1312,0.29270000
1313,0.99540000
1314,0.99700000
1315,0.39885000
1316,0.99920000
1318,0.96810000
1319,0.99343333
1320,0.99700000
1322,0.92890000
1326,0.98830000
1327,0.96635000
1329,0.96690000
1333,0.98385000
1334,0.98280000
1345,0.13530000
1349,0.98740000
1350,0.74070000
1351,0.98080000
1353,0.92830000
1355,0.62660000
1361,0.84350000
1362,0.95960000
1364,0.99780000
1365,0.99560000
1366,0.91950000
1370,0.98030000
1373,0.99780000
1375,0.92730000
1377,0.96260000
1378,0.98190000
1381,0.88120000
1383,0.99200000
1385,0.97980000
1386,0.99420000
1391,0.98990000
1393,0.97595000
1403,0.88735000
1405,0.99500000
1411,0.98440000
1415,0.44730000
1418,0.99685000
1422,0.99405000
1423,0.98520000
1424,0.98383333
1427,1.00000000
1428,1.00000000
1430,0.95383333
1438,1.00000000
1444,0.99380000
1446,0.99380000
1447,0.93780000
1448,0.88125000
1451,0.94620000
1457,0.95680000
1462,0.99250000
1468,0.99660000
1469,1.00000000
1483,0.99260000
1484,0.98450000
1487,0.98455000
1489,0.93080000
1494,0.96990000
1497,0.98530000
1500,1.00000000
1502,1.00000000
1503,0.97940000
1510,0.99140000
1514,0.98550000
1516,0.96923333
1522,0.99740000
1523,1.00000000
1527,0.83500000
1530,0.99540000
1535,0.53090000
1536,0.98050000
1537,0.91440000
1544,1.00000000
1549,0.99680000
1557,0.99810000
1559,0.95955000
1560,0.89550000
1561,0.99740000
1562,0.99740000
1574,0.99745000
1577,0.99680000
1580,0.11390000
1582,0.97880000
1584,0.97100000
1585,0.99500000
1592,0.96670000
1594,0.98370000
1598,0.97370000
1603,0.99310000
1610,1.00000000
1612,0.98760000
1614,0.99260000
1618,0.99880000
1619,0.98520000
1620,0.93640000
1621,0.97350000
1628,0.99750000
1632,0.93320000
1633,0.95440000
1643,0.99570000
1647,0.98420000
1654,0.99460000
1658,0.99760000
1659,0.98010000
1660,0.99520000
1661,0.98490000
1662,0.98130000
1663,0.93630000
1665,0.99880000
1666,0.99640000
1668,0.58630000
1671,0.99100000
1674,0.98510000
1677,0.85690000
1680,0.94820000
1688,0.99590000
1697,0.97820000
1698,0.99940000
1703,0.99410000
1706,0.99060000
1707,0.99820000
1708,0.96490000
1709,0.98595000
1711,0.98480000
1716,0.91260000
1723,0.98030000
1730,0.88730000
1731,0.90760000
1746,1.00000000
1749,0.93880000
1752,0.97720000
1761,0.98520000
1762,0.99770000
1768,0.97510000
1777,0.98870000
1785,0.98600000
1787,0.97820000
1792,0.99550000
1795,0.00390000
1797,0.99780000
1805,0.87480000
1820,0.98960000
1831,0.98960000
1832,0.99840000
1835,0.99460000
1846,0.99890000
1854,0.98300000
1856,0.99460000
1866,0.97530000
1868,0.99730000
1878,1.00000000
1888,1.00000000
1891,0.99100000
1899,0.99740000
1903,0.98000000
1904,0.99530000
1905,0.91230000
1913,0.87400000
1916,0.99740000
1924,0.96000000
1930,0.98450000
1947,0.93370000
1952,0.99950000
1953,0.98260000
1964,0.99900000
1975,0.83650000
1978,0.87160000
1979,0.96660000
1990,1.00000000
1996,0.99000000
2008,0.92530000
2010,0.98560000
2020,0.98120000
2022,0.98660000
2034,0.97300000
2037,0.87090000
2043,0.99610000
2045,0.79950000
2050,0.98390000
2058,0.99900000
2062,1.00000000
2072,0.83350000
2076,0.97735000
2080,0.96250000
2089,0.94210000
2097,0.95370000
2106,0.99530000
2116,0.96550000
2125,0.97510000
2126,0.98870000
2129,0.99580000
2136,1.00000000
2142,0.99020000
2149,0.99440000
2156,0.99540000
2159,0.98890000
2164,0.99540000
2175,0.99950000
2177,0.97380000
2186,0.97850000
2248,0.96620000
2259,0.99290000
2260,0.98410000
2261,0.98850000
2262,0.99510000
2263,0.99560000
2268,0.96870000
2270,0.99910000
2284,0.99120000
2287,1.00000000
2288,0.99780000
2310,0.99870000
2315,0.99610000
2330,0.99960000
2343,0.99700000
2367,1.00000000
2372,0.98020000
2394,0.99500000
2395,0.99670000
2399,0.98170000
2419,0.99500000
2421,0.99550000
2431,0.93870000
2435,0.95610000
2474,0.85350000
2480,0.96730000
2481,0.99920000
2508,0.93580000
2516,0.99920000
2523,0.99170000
2531,0.99290000
2565,0.98640000
2576,0.99340000
2582,0.98920000
2586,0.99300000
2598,1.00000000
2600,0.97690000
2607,0.99810000
2615,0.99580000
2634,0.96620000
2638,0.99660000
2654,0.95890000
2706,0.98525000
2710,1.00000000
2717,0.98490000
2726,0.98130000
2730,0.99850000
2738,0.94960000
2739,0.99780000
2746,0.98510000
2756,0.99890000
2770,0.99930000
2795,0.99500000
2821,0.98400000
2841,0.97750000
2886,0.98790000
2896,0.91820000
2910,0.99730000
3016,0.96650000
3018,0.99600000
3036,0.99510000
3040,0.99770000
3063,0.99840000
3067,0.98890000
3100,0.99450000
3123,0.99900000
3130,0.98020000
3194,0.99940000
3212,0.99560000
3224,0.98140000
3254,0.99720000
3275,0.98990000
3301,0.98580000
3302,0.99360000
3316,0.99580000
3324,0.99070000
3340,0.98860000
3416,0.98920000
3452,0.99680000
3549,0.99610000
3624,0.99940000
3710,0.99920000
3765,1.00000000
3817,0.94110000
3861,0.99380000
4021,0.99950000
4126,0.99590000
4139,0.97510000
4280,0.99300000
4347,0.99750000
4567,0.98880000
4576,0.89010000
4593,0.99190000
4629,0.99550000
4792,0.99810000
4835,0.99960000
4846,0.96800000
4869,0.99960000
5184,0.99770000
5319,0.99210000
5331,0.99960000
5376,0.99800000
5475,0.99320000
5619,0.99890000
5658,0.99910000
5673,0.97990000
5695,1.00000000
5923,0.99760000
5934,0.97760000
6044,0.99820000
6180,0.99840000
6187,0.99840000
6190,0.99950000
6193,0.99970000
6254,0.98450000
6269,1.00000000
6505,0.99460000
6949,0.96500000
7704,0.99900000
8796,0.99970000
9839,0.99990000
9954,0.99690000
10281,0.99480000
11946,0.99910000
16387,0.99840000
21750,0.99880000
26355,0.00000000
