#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4
-1,4,0,1.5,,1,,1,,,,2183,,14,0.2,0,370,,1,3,3278,1697,,,,,212,21311,43512,22830
-1,4,0,1.25,,0,,1,,,,56047,,3,0.2,0,488,,4,4,59130,,,,,,10,4336,52,29
-1,2,2,2,2,1,2,0,3,146458,,16436,1282,62,1,476,941,0,0,2,27342,,31,,,2533,13,109510,266595,308104
-1,4,0,1.75,,3,,2,,,,17370,,58805,0.2,0,1476,,1,4,28332,37746,,,,,0,33187,49946,10427
-1,2,2,0.5,0,1,0,0,1,166223,,2541,3265,2023,1,486,2000,2,1,1,2541,,,,,3265,13743,257937,7444,3187
-1,1,3,2,1,0,1,0,1,16525,,1033,43,3104,2,500,2085,0,0,1,2000,66,43.3333,,,,2809,4208,467,21302
-1,1,3,3,35,5,48,0,6,74964,,1115,3573,1419,2,1150,711,3,0,1,2092,86,,,1010,8699,33,11513,10,86479
-1,0,4,,0,,0,,1,152,,,1769,,5,174,0,0,,0,,,,,1099,2439,0,21,21,2
-1,2,2,5,11,25,10,24,3,80656,,26149,285,8,1,1799,1228,2,1,2,167260,558,11,,558,,23,37407,1332,1643826
-1,2,2,2.5,25,3,22,0,10,265856,,64744,18470,328,1,395,2587,4,1,2,71219,,,,,18469.5,0,383339,519891,74923
-1,3,1,4.66667,0,11,0,16,1,18,,15686,14,3,0.5,173,212,1,1,3,49067,49067,14,,,,0,11159,104,181
-1,3,1,1.33333,0,2,0,2,1,7,,9418,821,17247,0.5,223,1806,1,2,3,9652,13738,,,821,,2906,10037,522944,21953
-1,3,1,5.66667,6,5,0,4,2,13,,9724,,11,0.5,517,1000,0,1,3,28698,3919,,,,,0,11739,1183,9
-1,0,4,,0,,0,,1,7,,,1348,,5,237,0,1,,0,,,10,,,2686,4,26,12,34
-1,4,0,1.25,,0,,0,,,,8906,,72,0.2,0,679,,3,3,8994,8994,,,,,11,203521,10040,9611
-1,4,0,2.25,,2,,2,,,,4735,,32489,0.2,0,1316,,1,4,11871,4122,,,,,0,53269,106562,20194
-1,0,4,,3,,2,,2,386054,,,9867,,5,1283,0,1,,0,,,13,323,,19566.5,0,100676,21,6
-1,4,0,2,,0,,1,,,,6685,,18754,0.2,0,1921,,1,4,20697,41029,,,,,0,1716,5500,60706
-1,4,0,2.5,,2,,2,,,,27065,,2789,0.2,0,499,,1,4,31083,38402,,,,,5,134165,156987,44623
-1,1,3,6,0,6,0,0,1,27244,,9939,1843,1,2,324,225,0,0,1,28127,28127,,,,1843.33,4225,11739,134,1063
-1,3,1,2.66667,0,0,0,4,1,3,,22687,108,13,0.5,146,820,3,9,3,54243,5806,,108,,,14,390,2975,23955
-1,3,1,1,0,1,0,0,1,563141,,2287,88,609,0.5,1006,1259,0,1,3,2287,3180,,88,,,12,103559,99417,50513
-1,4,0,1,,0,,0,,,,8904,,876,0.2,0,209,,0,4,8904,8904,,,,,3,9878,1345,6334
-1,1,3,4,0,2,0,0,1,80677,,7290,904,2,2,335,451,0,0,1,26439,161,,123,793,1797,53173,119795,31667,173174
-1,3,1,1,4,0,0,0,1,1166,,51290,26,87,0.5,289,1453,1,1,3,51290,75934,26,,,,63026,45970,2939,40523
-1,3,1,2.66667,5,4,0,2,5,724403,,5700,460,385,0.5,476,1049,0,2,3,13376,1860,,,460,,15807,24363,412067,132307
-1,3,1,1.66667,0,0,0,0,1,18871,,1771,15,6311,0.5,262,1671,0,1,3,2863,2863,15,,,,122164,8663,7110,11760
-1,2,2,1.5,0,2,0,0,1,196133,,822,40,1379,1,1741,1873,1,2,2,1095,548,39.5,,,,16,7254,4443,3044
-1,4,0,1.25,,1,,2,,,,1818,,74,0.2,0,372,,2,4,1848,1848,,,,,0,1649,46,1002
-1,0,4,,1,,0,,1,13,,,32,,5,454,0,1,,0,,,14.6667,82,,,5248,4,1749,5
-1,4,0,2.25,,0,,0,,,,16362,,16,0.2,0,1179,,1,4,37163,37163,,,,,11,1472,13762,6133
-1,4,0,2,,1,,0,,,,22831,,9308,0.2,0,185,,2,4,60039,,,,,,227185,12837,74692,85275
-1,4,0,1.5,,1,,1,,,,16307,,17,0.2,0,1902,,1,4,22227,22227,,,,,4,1520,1200,75
-1,3,1,1.33333,1,2,0,1,2,83,,63665,2317,7,0.5,307,2081,1,0,3,65024,65024,,,,2317,129418,34516,19,11189
-1,2,2,1,2,2,2,0,1,20,,3422,57,113,1,189,2071,4,3,2,3422,3422,33,81,,,17,116455,3012,16
-1,3,1,1.66667,0,1,0,1,1,2754,,78,33,25180,0.5,208,876,0,0,3,91,,33,,,,0,2754,1523,269373
-1,3,1,3,0,0,0,1,1,21,,7856,110,18,0.5,281,2374,0,3,3,20182,25491,,110,,,6,13937,4316,1430
-1,4,0,3,,1,,0,,,,15044,,5,0.2,0,613,,0,4,36011,25995,,,,,0,84,1074,16
-1,4,0,1.5,,1,,1,,,,5740,,23125,0.2,0,385,,1,4,8176,4135,,,,,0,13013,4973,32275
-1,2,2,1.5,1,1,0,0,2,685,,5279,555,6583,1,1239,478,1,1,2,10207,351,,258,852,,158547,40357,47,1276
-1,0,4,,0,,0,,1,4837,,,6080,,5,202,0,1,,0,,,,69,,8083.33,104216,7,1622,15155
-1,0,4,,0,,0,,1,50,,,242,,5,897,0,1,,0,,,18.5,336,595,,38544,221,15,32
-1,3,1,0.666667,2,0,0,0,1,28624,,4411,325,14322,0.5,476,754,0,1,2,4411,4411,,325,,,512089,25134,28624,159724
-1,4,0,1.5,,0,,0,,,,2207,,5,0.2,0,477,,2,3,4797,,,,,,6,7355,58,23037
-1,0,4,,0,,0,,1,225973,,,218,,5,389,0,1,,0,,,12.5,371,475,,1012135,126,35,4055
-1,3,1,1,0,1,0,1,1,1701679,,609,3312,11,0.5,134,681,0,2,2,858,290,,,,3312,53621,33023,79277,1266
-1,4,0,1.5,,2,,0,,,,22083,,161,0.2,0,575,,2,3,24479,24139,,,,,72140,109415,209895,182149
-1,4,0,2.5,,3,,2,,,,20313,,7,0.2,0,305,,0,4,50226,90787,,,,,6,34509,161392,9527
-1,0,4,,0,,0,,1,255907,,,1246,,5,276,0,0,,0,,,1,,571,2205,4,4,4,8
-1,0,4,,4,,1,,3,165,,,1536,,5,782,0,2,,0,,,,103,896,4248,152900,352584,107842,412
-1,3,1,4.66667,0,4,0,5,1,70,,38146,6,37,0.5,176,1173,0,0,3,100070,6435,6,,,,2932,312,77675,7690
-1,4,0,3,,1,,1,,,,5158,,2,0.2,0,776,,2,3,22831,16958,,,,,5,9397,21,1043
-1,1,3,0,3,2,3,0,2,304077,,,1456,,2,1656,1010,1,0,0,,,,208,,2079.5,42743,7,144149,73
-1,4,0,1.25,,1,,1,,,,2889,,230,0.2,0,592,,0,4,4878,,,,,,17,224579,18016,8605
-1,4,0,1.25,,1,,0,,,,1944,,12741,0.2,0,662,,1,4,2020,2658,,,,,11,19551,6004,13013
-1,0,4,,5,,7,,1,216403,,,1745,,5,944,0,1,,0,,,1,286.5,,6406,0,180946,415510,7
-1,4,0,2.25,,0,,0,,,,26229,,750,0.2,0,1676,,0,4,74498,,,,,,0,2265,10231,8022
-1,4,0,1.5,,1,,0,,,,2467,,54,0.2,0,3130,,2,4,2895,855,,,,,3,93743,7033,10037
-1,4,0,3,,2,,0,,,,15523,,15,0.2,0,1100,,0,4,50956,42194,,,,,594601,21993,210492,87953
-1,3,1,1,3,1,0,1,2,23,,10883,64,1184,0.5,328,718,1,2,3,10883,10883,64,,,,0,1517,3220,1411
-1,2,2,1.5,0,1,0,0,1,406341,,24465,1642,294,1,337,711,0,0,2,34424,14505,,,1127,2156,1440,82915,40256,89
-1,3,1,2.66667,-1,1,0,1,1,1626,,15517,27,21,0.5,123,500,3,6,3,26725,27,27,,,,0,1559,66,6297
-1,1,3,2,2,4,0,0,2,7220,,256,1490,1733,2,616,2016,0,1,1,301,301,,,897.5,2676,0,1181,99505,12882
-1,4,0,2,,3,,1,,,,15013,,34826,0.2,0,504,,0,4,31800,39515,,,,,153406,8940,25836,50184
-1,3,1,1.66667,2,1,0,0,1,690,,16914,1,9,0.5,313,1141,3,0,3,23786,10041,1,,,,39072,465477,33,29692
-1,2,2,1.5,1,1,0,0,2,2766,,661,16,431,1,339,715,0,1,2,1305,,16,,,,12,5424,175970,107
-1,1,3,8,1,6,1,0,2,39,,19372,4923,1,2,330,123,0,0,1,117764,6984,,,1126,8720,3,17,154,51
-1,0,4,,2,,1,,2,24,,,1198,,5,699,0,1,,0,,,28,,682,2041,1,2438,368,1258
-1,3,1,2,2,1,0,2,1,14524,,9369,2519,4844,0.5,1139,1483,0,0,3,24826,2519,,,,2519,449256,14524,4203,8888
-1,0,4,,5,,5,,2,534658,,,2005,,5,1063,0,0,,0,,,,113,,2635,0,1040,5,4690
-1,1,3,2,1,2,1,0,1,12,,1441,2082,1613,2,350,391,0,2,1,1854,1854,46,357,,5842,6,8838,1388,4643
-1,3,1,1.33333,0,0,0,0,1,7856,,2160,27,393,0.5,615,620,0,1,2,6212,226,27,,,,9,7856,11,2462
-1,4,0,2,,0,,0,,,,7902,,5,0.2,0,407,,1,4,15366,6759,,,,,6,2635,49,37417
-1,4,0,3.75,,0,,1,,,,11531,,4,0.2,0,1280,,5,4,35630,32246,,,,,1206,850,660,7215
-1,0,4,,2,,0,,1,61641,,,231,,5,271,0,1,,0,,,,231.25,,,0,40065,39059,203093
-1,0,4,,2,,1,,2,37241,,,1342,,5,217,0,1,,0,,,54,82,1296,3934,1,9946,3,37939
-1,0,4,,1,,1,,1,284,,,719,,5,359,0,1,,0,,,13,123,621,2117,2,21925,5,963
-1,4,0,2,,1,,0,,,,24802,,5,0.2,0,534,,1,4,46083,22525,,,,,14,138,92,198
-1,0,4,,5,,8,,3,183956,,,11202,,5,582,0,2,,0,,,,79,,14909,0,308080,50023,204586
-1,0,4,,1,,3,,1,132856,,,977,,5,521,0,1,,0,,,,195.5,1582,1935,2,47,4252,694
-1,0,4,,2,,2,,1,150100,,,2510,,5,196,0,0,,0,,,23,101,,9816,0,287597,55729,146024
-1,0,4,,1,,1,,2,567577,,,1312,,5,337,0,0,,0,,,56,113,,2539,130089,578582,25774,3
-1,3,1,3,4,1,0,0,3,42,,19054,628,19,0.5,211,641,4,1,3,21106,11530,,,628,,208850,8,2878,37772
-1,4,0,1.5,,1,,0,,,,3183,,637,0.2,0,1459,,2,4,3199,688,,,,,7331,1274,4424,4200
-1,0,4,,1,,1,,2,219808,,,964,,5,522,0,0,,0,,,,174.5,531,2975,288059,40971,1017028,99
-1,3,1,2,1,4,0,2,1,1225,,2989,1696,11161,0.5,3030,368,0,1,3,4015,3771,,,,1696,6,49287,182887,7498
-1,4,0,3,,2,,1,,,,16362,,6,0.2,0,2020,,1,4,25999,18132,,,,,80268,616790,117532,10673
-1,1,3,1,1,0,1,0,1,341,,601,997,857,2,352,1854,1,0,1,601,601,,157,601,2232,78290,194,663,2216
-1,4,0,1.25,,1,,1,,,,6088,,1592,0.2,0,722,,1,4,6876,5301,,,,,15,10239,28828,73162
-1,4,0,0.75,,1,,1,,,,11107,,9314,0.2,0,501,,0,3,11107,771,,,,,6,4053,20497,20112
-1,0,4,,0,,0,,1,366019,,,700,,5,218,0,1,,0,,,25,282.5,,2211,466495,133721,17422,16
-1,4,0,2.75,,1,,0,,,,7539,,439,0.2,0,1054,,1,4,13711,18067,,,,,901710,206516,22932,19274
-1,3,1,2.66667,2,1,0,1,5,10,,16567,1229,4,0.5,153,7636,0,10,2,57085,,,,1229,,18,5615,1705,251
-1,2,2,1.5,4,4,4,2,2,123,,3849,637,49,1,224,1131,1,0,2,4040,4040,,174,1099,,12,113,4435,12908
-1,2,2,1,1,2,0,0,2,5,,321,6774,571,1,386,2491,1,2,2,321,590,49,,,13498,7,82374,297780,248
-1,3,1,3.33333,0,1,0,1,1,953707,,7570,2145,10042,0.5,455,1041,0,1,3,15435,326,,,,2145,0,30074,5925,20243
-1,1,3,2,0,6,0,0,1,3518,,105813,9065,8,2,290,209,0,0,1,185661,185661,,228,1203,25765,24,9965,245,1214
-1,4,0,1,,1,,0,,,,18747,,177778,0.2,0,609,,1,4,18747,,,,,,0,139350,38846,191588
-1,0,4,,11,,14,,5,570,,,32387,,5,516,0,1,,0,,,,144,,43135,201,5600,34,14
-1,2,2,3,1,2,0,1,2,12,,3184,414,906,1,669,1934,1,1,2,5703,3787,,98,729,,0,8527,44,2626
-1,4,0,1.75,,2,,1,,,,2000,,215082,0.2,0,693,,1,4,3166,,,,,,2,31569,20223,49295
-1,2,2,2.5,0,3,0,3,1,519871,,1177,745,240,1,2326,1714,0,3,2,2619,608,18,,1471,,479071,188957,36277,232932
-1,3,1,1.33333,0,1,0,1,1,15861,,420,178,54340,0.5,162,2659,0,1,3,717,1070,,178,,,56,15861,24398,240876
-1,4,0,2.75,,1,,0,,,,31733,,6,0.2,0,610,,2,4,84901,111771,,,,,11,1610,930219,103140
-1,3,1,3,2,0,0,0,1,25,,5815,,492,0.5,416,999,1,1,3,12809,7707,,,,,0,3501,152,33312
-1,4,0,2.25,,0,,0,,,,23104,,42,0.2,0,1216,,0,4,70816,70816,,,,,12,46339,29754,20387
-1,4,0,1.5,,0,,1,,,,47979,,260,0.2,0,1085,,1,4,48105,63887,,,,,16120,11428,11678,11428
-1,4,0,1,,1,,1,,,,1116,,36,0.2,0,2512,,3,3,1119,1119,,,,,13,63385,1623,94830
-1,2,2,0.5,1,2,0,0,1,104,,349,556,1640,1,957,2073,0,4,1,349,349,30,,1081,,365722,227,11272,139741
-1,1,3,4,1,1,1,0,2,101,,12969,1377,6,2,613,1528,1,0,1,49013,49013,,,1377,,8,14,50,122621
-1,4,0,2,,0,,0,,,,48299,,623,0.2,0,647,,1,4,59683,71451,,,,,8,290869,54996,101976
-1,3,1,2,7,6,0,4,2,1869,,2977,4535,208897,0.5,1763,201,0,0,3,4535,4535,,,,4535,20227,18387,1869,1262
-1,3,1,1,0,0,0,0,1,7264,,7575,34,1087,0.5,770,1208,0,2,3,7575,7575,34,,,,55,2996,1243,78
-1,0,4,,1,,2,,1,29563,,,6516,,5,445,0,0,,0,,,,,664,8466.33,1161,36,5,1
-1,3,1,2,3,9,0,4,1,115,,3997,1183,2096,0.5,1090,1876,0,0,3,10002,1346,,,1183,,0,1647,115,1046
-1,4,0,1.25,,0,,0,,,,6127,,3120,0.2,0,417,,0,4,6204,,,,,,11,12738,5673,11828
-1,1,3,0,1,0,1,0,1,13,,,77,,2,833,2597,0,2,0,,,39,153,,,25,129538,3,72065
-1,3,1,6.33333,2,4,0,4,2,20,,3312,475,8,0.5,143,913,0,3,3,7740,475,,,475,,5,20,98501,117273
-1,4,0,2.25,,1,,2,,,,10136,,27,0.2,0,691,,2,4,15014,10549,,,,,5,1360,26056,123
-1,3,1,1.66667,1,0,0,0,2,16029,,301,68,1907,0.5,130,1442,0,3,3,533,68,,68,,,10,7482,8547,15626
-1,4,0,1.75,,1,,1,,,,1122,,417,0.2,0,408,,0,3,2119,2092,,,,,345,18256,1723,7051
-1,0,4,,1,,0,,2,133877,,,170,,5,414,0,1,,0,,,48,291,,,5631,179,2683,4668
-1,1,3,1,0,1,0,0,1,20,,457,94,1,2,326,989,1,0,1,457,457,,94.3333,,,26,21,16,41
-1,1,3,2,0,0,0,0,1,387392,,7210,142,7,2,2748,1022,0,0,1,8851,8851,21,385,,,16,90817,4347,25874
-1,4,0,1,,1,,1,,,,14155,,118,0.2,0,1656,,0,4,14155,17755,,,,,25391,4095,1702,64
-1,2,2,1.5,1,1,0,0,1,44489,,2324,1489,22,1,859,463,0,0,2,3136,1381,,,1488.5,,533678,120124,1205,12859
-1,3,1,1.33333,0,0,0,0,1,2080,,3579,93,198,0.5,239,890,0,0,3,3926,3231,,93,,,11,159263,8569,2080
-1,4,0,1.75,,0,,0,,,,25239,,5,0.2,0,420,,1,3,73591,73591,,,,,8,2545,1519,60
-1,0,4,,0,,0,,1,16582,,,156,,5,715,0,1,,0,,,45.5,72,459,,835,10,6,8
-1,0,4,,3,,4,,3,7,,,1185,,5,317,0,1,,0,,,,373,468,1948.5,18,75,58,4
-1,0,4,,4,,5,,2,18412,,,2136,,5,366,0,2,,0,,,45,356,,4071,763,1421,9480,116761
-1,4,0,2,,1,,0,,,,14495,,397,0.2,0,1694,,2,3,43771,43771,,,,,99,2643,18921,906
-1,3,1,1.33333,0,0,0,0,1,7,,14119,10,90,0.5,232,1575,0,1,3,26485,,10,,,,246457,10942,8707,18637
-1,1,3,1,0,0,1,0,1,93,,606,1132,6,2,317,870,0,0,1,606,,,88,1368,1940,0,8566,21951,24
-1,4,0,3,,3,,2,,,,7409,,19,0.2,0,1729,,0,4,18388,17994,,,,,0,27173,11614,207191
-1,4,0,4.5,,1,,1,,,,1670,,8,0.2,0,908,,3,4,5621,10379,,,,,4,225,90,51
-1,0,4,,1,,0,,1,29,,,757,,5,288,0,2,,0,,,,257.5,1256,,456218,8,31,78
-1,1,3,6,1,2,1,0,1,163438,,16966,2202,10,2,291,504,0,4,1,33702,,39,,,3283,191669,4785,31170,28
-1,4,0,3.5,,3,,3,,,,33669,,16179,0.2,0,625,,1,4,85819,45064,,,,,10,30,210,2513
-1,0,4,,0,,0,,1,10,,,547,,5,309,0,2,,0,,,13.3333,,,2148,63,39,49,29
-1,0,4,,1,,1,,1,208945,,,6334,,5,564,0,0,,0,,,,,,6334,11,4,3,12
-1,4,0,1,,1,,0,,,,1970,,51,0.2,0,1637,,3,3,2107,1819,,,,,29161,2404,20531,28550
-1,4,0,1.75,,1,,0,,,,9860,,226,0.2,0,410,,3,4,16478,,,,,,13,20188,15827,4380
-1,4,0,1.5,,1,,1,,,,110347,,67,0.2,0,583,,1,4,133874,133874,,,,,10148,30452,10186,12932
-1,0,4,,1,,1,,1,164934,,,1155,,5,816,0,0,,0,,,49,,501,2034,0,1392,1389,7217
-1,3,1,2,2,0,0,0,3,27,,18568,79,142,0.5,489,1084,1,1,3,26428,14550,,79,,,11,320910,27,4281
-1,4,0,0.5,,1,,1,,,,14421,,72,0.2,0,376,,2,2,14421,,,,,,5,4773,2406,4674
-1,1,3,1,1,1,1,0,1,30,,470,2796,59609,2,728,2681,1,2,1,470,470,12.5,,,8364,6285,856,105,7443
-1,0,4,,0,,0,,2,27827,,,241,,5,1117,0,3,,0,,,11.5,173,766,,338929,100,827,198
-1,3,1,3,1,4,0,2,2,131,,9388,83,122,0.5,84,826,0,1,3,15229,510,,83,,,14499,131,63542,17634
-1,4,0,2.5,,2,,3,,,,14073,,9,0.2,0,4586,,5,4,22403,23717,,,,,11296,134,93,630
-1,4,0,2.25,,0,,0,,,,10451,,4,0.2,0,533,,1,3,28010,23411,,,,,85,1295,14461,11154
-1,4,0,2,,1,,0,,,,15214,,21,0.2,0,751,,1,4,23600,21172,,,,,3,4588,1323,137
-1,4,0,2.75,,0,,1,,,,14122,,49,0.2,0,1831,,2,4,35925,,,,,,0,510,3475,76
-1,0,4,,1,,0,,1,295760,,,9408,,5,1237,0,0,,0,,,8,303,,18660.5,763272,23944,3578,322
-1,3,1,2,1,0,0,0,2,31,,2545,194,8,0.5,160,999,0,0,2,3962,46,,194,,,0,25914,27,11240
-1,0,4,,2,,0,,1,110147,,,975,,5,1434,0,1,,0,,,,139.5,637,2982,11,6035,37,2762
-1,1,3,4,1,1,0,0,2,130,,12848,60,16,2,419,1355,1,1,1,23216,23216,42.5,95,,,128049,2780,380083,26
-1,0,4,,16,,23,,3,48473,,,7565,,5,335,0,1,,0,,,,,916,9781.67,57602,115,133,223
-1,3,1,2.33333,0,1,0,0,1,498,,2723,76,18,0.5,1925,2845,0,0,3,4616,4616,,76,,,0,83495,209,289
-1,4,0,2.25,,0,,1,,,,28410,,15,0.2,0,937,,4,3,86914,84538,,,,,0,41452,86488,64829
-1,4,0,4.75,,2,,1,,,,14670,,7,0.2,0,758,,0,4,43098,5387,,,,,0,2682,21664,152472
-1,2,2,1.5,1,0,0,0,1,380957,,28425,941,162,1,543,1338,1,1,2,51678,51678,,,940.5,,718200,1591,2006,5050
-1,1,3,1,0,0,1,0,1,17,,783,561,132,2,991,1683,3,0,1,783,783,25,108,1549,,92142,118320,660,5920
-1,4,0,1,,1,,1,,,,12394,,74,0.2,0,1315,,0,4,12394,16128,,,,,211,431440,137519,81841
-1,1,3,10,12,27,10,0,2,17351,,3556,4510,9,2,1261,983,0,0,1,29370,,,296,,6616.5,96995,179,14270,21207
-1,0,4,,1,,2,,1,13,,,539,,5,372,0,1,,0,,,1,,1076,,18,20,3554,27
-1,4,0,1.75,,0,,0,,,,26504,,5,0.2,0,1734,,2,4,28313,2381,,,,,13,19900,7567,5223
-1,4,0,5.25,,2,,2,,,,15500,,2,0.2,0,771,,2,4,61757,5432,,,,,0,430896,94,1332
-1,1,3,3,3,3,3,0,2,3837,,7645,1282,17,2,329,1398,1,2,1,20882,134,,201.5,,3442,57298,1534,23050,93
-1,1,3,3,2,2,1,0,1,4004,,25503,7466,2,2,206,1033,1,3,1,44776,44776,,355,,11021.5,208105,119655,1819,1761
-1,4,0,2.75,,1,,1,,,,4162,,173393,0.2,0,1061,,2,4,9433,2000,,,,,9,58760,77759,1614
-1,4,0,2.25,,0,,1,,,,5808,,15,0.2,0,360,,1,4,15425,6213,,,,,4,2007,3246,1388
-1,2,2,6,122,18,114,9,5,10668,,9676,27085,8,1,779,740,12,0,2,26311,17608,,,,27084.5,8,323,1203,1900
-1,0,4,,6,,8,,2,178327,,,5963,,5,1112,0,0,,0,,,13,,701,11568.5,57350,476997,297857,1738
-1,4,0,1,,2,,2,,,,48181,,3165,0.2,0,928,,1,4,48181,63996,,,,,0,5811,27275,1481
-1,2,2,4,0,4,0,0,1,43,,6414,98,5757,1,506,805,2,1,2,16840,15419,21,175,,,7,74356,29,211567
-1,0,4,,1,,0,,2,327,,,639,,5,760,0,1,,0,,,4.5,394,,2152,0,1922,8,14
-1,4,0,2,,1,,0,,,,9366,,193,0.2,0,307,,1,4,19562,21342,,,,,55,55,1445,38892
-1,3,1,1,0,0,0,0,1,833,,1405,6,40,0.5,53,140,0,1,2,2297,512,6,,,,3,195639,255,35655
-1,4,0,1.75,,1,,1,,,,59401,,14,0.2,0,1365,,1,4,104708,104708,,,,,0,894,3530,7141
-1,3,1,1.66667,0,2,0,1,1,597999,,4962,,33,0.5,150,587,0,0,3,6546,3419,,,,,0,9060,120990,4347
-1,1,3,0,1,0,1,0,1,553190,,,922,,2,543,1708,1,3,0,,,46,,550,2171,60491,116814,12723,20585
-1,1,3,1,1,3,1,0,1,28733,,8101,8,34,2,318,1499,1,0,1,8101,,8,,,,36,142,634,426
-1,0,4,,17,,15,,2,129018,,,1018,,5,1345,0,2,,0,,,,340,642,2749,6944,143,4,8
-1,0,4,,0,,0,,1,508702,,,3768,,5,324,0,0,,0,,,12.5,,555,14492,57081,10,34,578286
-1,3,1,1.66667,1,2,0,2,1,3345,,2515,240,21349,0.5,435,919,0,3,3,4822,2563,,240,,,17029,3345,108295,37411
-1,3,1,2.66667,0,0,0,0,1,8,,41968,1,12,0.5,230,1468,0,5,3,79976,15030,1,,,,127,3,99,241
-1,0,4,,2,,1,,2,1574,,,963,,5,290,0,1,,0,,,,170.5,536,2976,94601,17884,4191,40075
-1,3,1,1.33333,0,1,0,1,1,86,,2400,592,127,0.5,423,1279,0,2,3,2511,2162,,,592,,5,86,50372,1729
-1,2,2,1.5,1,0,0,0,1,345511,,7583,135,65,1,1091,1941,1,2,1,22652,,,134.5,,,17,3863,324613,1040
-1,4,0,2,,1,,1,,,,3232,,5,0.2,0,3111,,3,4,5443,1167,,,,,4,86,136,1288
-1,2,2,8,0,11,0,11,1,10130,,6546,128,21,1,566,841,1,1,2,22820,1980,,128,,,2,4289,70641,60
-1,1,3,1,2,1,1,0,2,33369,,6665,5058,74,2,1087,716,0,0,1,6665,6665,,107,,10008,72058,83480,9,14
-1,4,0,1.75,,1,,1,,,,15548,,266,0.2,0,1088,,0,4,26362,26362,,,,,1474,2794,5731,16249
-1,2,2,4,1,13,0,8,1,72,,17266,2336,10,1,176,245,1,0,2,58823,4795,,,956,3715,11,2478,79,26
-1,0,4,,1,,1,,1,388127,,,685,,5,788,0,0,,0,,,,151.5,685,1750,12,102220,9718,6
-1,1,3,3,8,3,10,0,2,247558,,10989,15004,12,2,584,1047,0,0,1,28541,2894,,,,15004,26104,43805,25380,103496
-1,2,2,1,1,1,0,0,1,16,,213,785,50,1,315,1788,0,5,2,213,213,37,,1532,,28,641,14287,25
-1,1,3,1,2,0,2,0,2,29362,,93,2622,768,2,651,1818,0,0,1,93,93,,158,,7551,217419,768,335,303
-1,0,4,,1,,1,,1,338,,,1219,,5,272,0,1,,0,,,,95,1109,2561,213,1033,15,281
-1,0,4,,3,,3,,2,1127,,,3035,,5,521,0,1,,0,,,,394,501,5623,118292,5770,12594,386
-1,2,2,3,0,2,0,2,1,10,,15182,42,5,1,104,449,0,0,2,32248,2967,1,82,,,10722,38,2856,910
-1,3,1,1.33333,0,1,0,2,1,31,,17160,2387,344,0.5,479,1612,0,1,3,17453,24523,,,,2387,18,464831,37680,1095
