#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6
-1,4,2,2.25,1,1,1,1,2,46,,9337,629,18,0.6,312,819,2,1,4,11683,7616,,,629,,12,5226,798,1385,47,34
-1,4,2,1.75,3,2,2,2,2,530,,18279,127,227,0.6,1101,1367,1,1,4,24894,16934,,126.5,,,0,49178,348,8523,2365,30
-1,5,1,2.6,0,2,0,3,1,11,,13545,213,8,0.333333,223,853,1,2,5,23558,9599,,213,,,1413,103553,7066,5748,107,13995
-1,0,6,,2,,1,,3,55,,,930,,7,981,0,2,,0,,,,303,1071.5,2528,67044,331,3988,152,2089,39804
-1,4,2,2.75,1,2,0,2,1,223,,22056,116,14,0.6,272,184,0,3,4,75203,11269,,116,,,0,990,490,33,1416,2390
-1,0,6,,0,,0,,1,95852,,,651,,7,1412,0,2,,0,,,37,257,1118.67,,534568,10994,3168,1905,1523,2012
-1,0,6,,1,,1,,1,23,,,477,,7,680,0,0,,0,,,19.5,181,881.333,,31,3716,98,16063,2705,32
-1,3,3,2.33333,1,2,0,2,2,269,,5286,2064,33,1,285,547,0,0,3,6435,10538,,,1322,2435.5,7,338,446,98,27,3685
-1,1,5,6,1,9,2,0,2,100614,,7970,1492,2,3,212,1144,0,0,1,25995,15009,,87,1363.5,3155,31,3173,26,13241,132,6
-1,6,0,4,,1,,0,,,,22025,,13,0.142857,0,673,,3,6,28390,27393,,,,,13,11843,116299,33209,69364,43035
-1,3,3,3,4,3,4,2,3,143,,73935,12892,16,1,1097,547,0,1,3,89849,74472,,,771,25012,12894,13073,7378,8240,38582,25164
-1,6,0,1.66667,,6,,7,,,,56263,,86,0.142857,0,196,,0,6,111533,55474,,,,,4,4570,6924,27,52,1621
-1,2,4,7,3,6,3,6,2,28715,,3561,5329,6,1.66667,382,1254,0,0,2,14555,2352,,172,,7047.67,25,388,77288,116,21,232
-1,6,0,2.33333,,2,,2,,,,7684,,145,0.142857,0,111,,1,6,15673,,,,,,0,1462,1422,48,47862,11335
-1,6,0,2,,0,,0,,,,2742,,1710,0.142857,0,711,,1,6,4466,4466,,,,,0,2924,2826,5951,44218,237680
-1,1,5,2,1,12,1,0,1,491,,9079,3445,2,3,804,70,0,0,1,9588,9588,,,610.5,5334.33,18,11,83,66,2827,55
-1,0,6,,3,,3,,2,773,,,748,,7,506,0,2,,0,,,18,173,1073.5,,91165,35,55,945,362,5795
-1,0,6,,0,,0,,1,256660,,,1423,,7,477,0,1,,0,,,,216.667,924,3482,276282,5,7,5,21893,231405
-1,0,6,,35,,63,,4,779144,,,2313,,7,1501,0,2,,0,,,,153.5,853,5203.5,126673,57,2633,77,39,17343
-1,5,1,2.6,1,1,0,1,1,41,,80977,118,12,0.333333,709,1143,0,1,5,93998,93998,,118,,,4,41,2333,79,1372,72
-1,0,6,,1,,1,,2,178500,,,1081,,7,622,0,1,,0,,,29,92,1148,5159,18,14,2518,40,1734,130
-1,5,1,1.2,0,1,0,1,1,137,,2394,34,20623,0.333333,107,1658,3,1,5,2677,2111,34,,,,368779,85851,65131,137,24351,2608
-1,0,6,,1,,1,,1,17,,,356,,7,255,0,1,,0,,,8,243.5,1624,,0,12668,45,1913,16834,14
-1,5,1,2.6,1,2,0,1,1,201,,45870,94,44,0.333333,393,1232,0,3,5,80020,54860,,94,,,23,220,9853,245340,201,304522
-1,6,0,2.5,,-1,,1,,,,16238,,70,0.142857,0,6168,,4,6,40439,4895,,,,,4424,4140,1604,1050,2897,2906
-1,6,0,2,,0,,0,,,,64018,,31637,0.142857,0,1038,,1,6,107299,,,,,,4,96,2190,48989,6632,21204
-1,5,1,1.8,0,1,0,1,1,15,,17972,18277,11,0.333333,265,482,0,1,5,21384,20866,,,,18277,0,10349,435366,45551,4304,18596
-1,0,6,,2,,2,,3,9,,,4376,,7,502,0,2,,0,,,,77,767.333,11938,11643,13,1444,4294,86,86
-1,1,5,5,5,13,8,0,3,60999,,13967,3320,4,3,420,1446,1,0,1,40742,40742,,148,535,6298.5,142,547,2240,97,16,100
-1,4,2,2,0,1,0,1,1,914832,,39721,6809,4,0.6,367,424,0,1,3,95659,46120,,362,,13255,455370,931,36901,21388,7,1381
-1,4,2,1,0,0,0,0,1,71927,,15799,503,74216,0.6,471,1731,0,1,4,15799,21065,1,,1004,,26,11009,29307,10,27307,3855
-1,1,5,9,10,23,17,0,3,1269,,1130,9928,2479,3,919,605,1,0,1,5609,652,39,,634,16322.3,899,18,18,505,196892,43896
-1,6,0,2.66667,,1,,0,,,,39335,,5,0.142857,0,932,,3,6,76349,48207,,,,,0,2627,636,4393,677,17445
-1,4,2,1,0,0,0,0,1,251344,,1050,95,4257,0.6,724,1891,0,1,3,1913,2869,3,187,,,23,10045,313,1161,1707,11501
-1,1,5,4,1,6,1,0,1,1695,,1669,965,6,3,271,971,0,0,1,3121,3121,31,,,1899,10,132,2464,1464,76,141
-1,6,0,1.16667,,1,,1,,,,22172,,17,0.142857,0,1219,,2,5,25395,20809,,,,,61911,25969,4027,256,5799,2752
-1,0,6,,0,,1,,1,17,,,1544,,7,344,0,1,,0,,,35,337,678.5,3766,9,17,17,1050,7692,5
-1,0,6,,3,,3,,2,30130,,,26935,,7,385,0,1,,0,,,,148,,35864,23,7,13,23,17,610
-1,6,0,1.16667,,2,,1,,,,12004,,182,0.142857,0,3849,,1,6,13531,10476,,,,,0,159628,82415,52935,77782,79629
-1,6,0,1.16667,,1,,1,,,,22883,,8523,0.142857,0,1257,,1,6,22898,42815,,,,,39,29808,33362,28512,38833,135412
-1,0,6,,1,,1,,1,21651,,,2397,,7,234,0,0,,0,,,,352,,2908,33,206,175,2451,15,496
-1,0,6,,1,,2,,1,232,,,6416,,7,486,0,0,,0,,,17,,1118,12264.5,13,35,189,923,22,14
-1,6,0,4.83333,,2,,1,,,,11861,,11,0.142857,0,1228,,3,6,38709,1665,,,,,7,1979,9480,2701,2441,6022
-1,4,2,1.75,0,0,0,0,1,46,,74637,4986,29072,0.6,385,699,1,1,4,112156,111989,,,,4985.5,139797,17573,42218,491,54763,253725
-1,0,6,,1,,1,,2,96,,,432,,7,665,0,1,,0,,,24,239,,2258,0,3093,7980,142,946,8630
-1,2,4,1.5,1,0,1,0,1,3,,11658,2301,39,1.66667,195,1017,4,1,2,11867,58,,220,798,7388,229030,24551,29,7,960,17
-1,6,0,1,,1,,2,,,,9617,,44,0.142857,0,477,,1,6,9617,9617,,,,,949451,4800,281,1189,940,116341
-1,1,5,1,1,0,2,0,1,230526,,9728,1346,7,3,555,1579,0,0,1,9728,9728,43.6667,140,,6458,2,655515,25263,255281,241,4025
-1,5,1,3,0,1,0,1,1,1044,,18895,41,777,0.333333,135,684,0,1,5,38121,2878,41,,,,22,100530,81798,1044,211707,98277
-1,5,1,2.6,0,1,0,1,1,1544,,7014,11,8,0.333333,2201,2025,4,1,5,21829,2691,11,,,,7269,467,757,793,692,7355
-1,6,0,2.33333,,1,,1,,,,38941,,267,0.142857,0,797,,2,6,52599,59920,,,,,13,1758,39997,310,5632,2899
-1,3,3,3.33333,0,2,0,1,1,6,,11497,1584,24,1,246,1123,3,1,3,39767,39767,,74,,4604,0,33218,15646,1229,319,26
-1,1,5,2,1,3,2,0,2,273992,,3172,2579,10077,3,347,2469,0,1,1,6272,,,,948,5026,0,474098,238863,1,31490,22944
-1,0,6,,1,,0,,1,2445,,,1036,,7,384,0,1,,0,,,9.5,70,944,4240,138030,37,744271,15,10,29
-1,0,6,,0,,0,,1,1346,,,628,,7,898,0,0,,0,,,17,266.5,1196,2002,116451,2725,1400,50356,10154,7628
-1,6,0,3,,1,,1,,,,19583,,44,0.142857,0,711,,1,6,50583,10118,,,,,1215,10626,2321,314,1570,1152
-1,3,3,1.66667,0,0,0,0,1,144616,,2398,2794,2769,1,467,740,4,2,3,2760,2411,,149,1251,6981,10,11086,60,18975,2839,5439
-1,4,2,1.75,4,2,2,0,2,36801,,3630,245,11,0.6,358,688,2,1,4,6731,1095,,245,,,7806,2890,5454,7471,352,14471
-1,0,6,,13,,15,,7,264,,,1166,,7,555,0,1,,0,,,,227,639,2369,67049,13,194,178,391,652
-1,4,2,1,1,3,1,2,1,499,,18263,101,372,0.6,1500,1545,2,3,4,18263,36459,,101,,,24,65780,55083,2132,45484,991
-1,0,6,,4,,5,,2,54636,,,1746,,7,372,0,1,,0,,,,153.8,,9708,11,42,11,27,7048,12
-1,1,5,1,1,1,1,0,1,287862,,91,10792,38513,3,368,2537,1,2,1,91,91,18,255.333,,53178,1461,3223,5129,30160,131115,14906
-1,1,5,3,4,4,2,0,3,123937,,9061,4043,13,3,922,584,1,3,1,22647,331,,331,1150.33,16432,16,167411,2401,312568,326152,4241
-1,4,2,2,1,3,1,1,1,475,,18789,412,13,0.6,766,1202,0,2,4,30578,10562,,232,592,,2644,7290,4625,2275,901,2036
-1,0,6,,0,,0,,1,14298,,,6411,,7,347,0,1,,0,,,,,1066,7747.75,6,1512,4,39119,2,3
-1,1,5,1,0,1,0,0,1,100,,48,1570,398615,3,203,2719,0,0,1,48,,,,690.333,2888.5,1563,15541,4315,93,190,1253
-1,0,6,,2,,1,,1,8,,,724,,7,472,0,1,,0,,,18.5,196,764.5,2584,12,23,7,1448,27,4540
-1,1,5,1,2,0,4,0,2,77157,,2656,962,43,3,354,1917,1,0,1,2656,2656,30,370,646,1882,306,82968,25061,505093,7417,1407
-1,5,1,2,0,1,0,1,1,2493,,5686,59,673,0.333333,541,844,0,0,4,13486,7679,59,,,,7,2493,20,177670,48535,5826
-1,4,2,1.5,0,1,0,1,1,75210,,6793,1,20,0.6,888,710,1,3,3,18439,1176,1,,,,229173,14320,7053,13224,5533,1397
-1,4,2,3,1,3,0,3,1,93,,2572,1003,851,0.6,122,596,1,0,4,4862,1670,16,,,1990,0,39,1343,166,1083,1329
-1,1,5,3,1,2,1,0,1,10,,396,266,184,3,761,2383,3,2,1,936,,1,219,554.5,,57,112,415,824,1322,322
-1,0,6,,1,,0,,1,63,,,505,,7,234,0,0,,0,,,45.5,196,490,2058,422889,12,741,7,52,11
-1,4,2,3,1,1,0,0,1,645647,,10290,604,4,0.6,398,713,0,1,4,24077,,,186,1022,,244929,1443,75009,93181,10132,119465
-1,3,3,1.66667,1,1,1,0,1,16380,,1714,2043,8747,1,452,833,0,2,3,2027,1431,,118,,5892,170982,1764,99217,111016,80582,46139
-1,6,0,3,,2,,4,,,,83247,,12,0.142857,0,466,,3,6,150652,122899,,,,,0,24919,22,6560,3254,1503
-1,6,0,2.16667,,4,,5,,,,44125,,98,0.142857,0,1194,,0,6,68681,39789,,,,,4,8795,777,528,1189,4857
-1,1,5,5,1,2,1,0,1,17,,6971,632,12,3,254,659,1,0,1,17068,15328,33.6667,86,,2975,32,166,1399,20,127,111
-1,0,6,,0,,0,,1,101384,,,876,,7,627,0,1,,0,,,10.6667,401,561,4264,322,20,39,1009,164,533
-1,4,2,2.25,4,3,4,0,1,19928,,3466,169,1238,0.6,502,2754,3,2,4,6959,1678,11,326,,,52,12833,133928,15520,1940,325221
-1,5,1,1.8,1,1,0,1,1,1105,,23019,1928,234,0.333333,396,1239,0,2,5,56469,43606,,,,1928,0,223229,13238,1105,7532,8535
-1,4,2,3.75,4,32,4,38,3,12791,,7983,213,10,0.6,481,541,1,1,4,18945,10443,47,378,,,58141,13744,19424,29665,109764,378
-1,5,1,1.4,0,2,0,3,1,1310,,8817,642,1474,0.333333,401,780,1,0,5,11990,10998,,,642,,0,1310,2882,26182,1229,8636
-1,6,0,1.66667,,0,,0,,,,1421,,179,0.142857,0,1163,,1,6,1618,1306,,,,,153,21,162,5612,22,8990
-1,3,3,0.666667,0,1,0,0,1,3795,,55,713,5716,1,353,1010,0,1,2,55,,42.5,,,2053,8192,87,11287,112629,5620,973
-1,2,4,2,1,2,1,2,1,141945,,49098,456,10449,1.66667,186,1537,0,1,2,97705,,,243,668,,0,315580,17696,5269,36478,107879
-1,2,4,1.5,4,1,6,1,1,33182,,3517,271,193,1.66667,956,2661,1,0,2,6860,6860,,161.667,597,,218600,356,751,397631,304,257232
-1,6,0,3,,1,,1,,,,44599,,8,0.142857,0,640,,1,6,114174,23384,,,,,0,66338,1432,12974,4202,797861
-1,0,6,,0,,0,,1,332928,,,796,,7,302,0,0,,0,,,44,382,1392,2532,4,122581,3475,11,12260,9466
-1,2,4,1,0,1,0,0,1,187605,,26,195,4998,1.66667,514,1215,0,2,2,26,26,19.3333,,722,,292319,8371,9392,45113,350265,603
-1,2,4,2,1,1,1,0,2,49357,,7070,2870,97,1.66667,289,3046,1,0,2,9793,6669,,257,,3741.33,542843,79109,404940,289,25,12
-1,6,0,2.5,,0,,1,,,,25184,,62,0.142857,0,2158,,2,6,71104,68503,,,,,0,81072,125209,5621,24683,226719
-1,3,3,1,0,0,0,0,1,268266,,5452,59,7347,1,351,802,0,3,3,5452,5452,20,137,,,0,40138,130,1076,6084,26
-1,2,4,2,1,2,1,0,2,7,,4842,1149,19,1.66667,525,776,1,3,2,9288,528,3,,477,2057.5,129638,53754,164390,5634,69,1626
-1,3,3,1.33333,0,0,0,0,1,16267,,12531,320,12,1,315,2175,1,2,2,24329,1113,46,194,719,,37,74,5353,102812,134006,113
-1,4,2,2.5,0,1,0,1,1,652643,,1089,3341,915,0.6,1223,1637,1,1,4,2684,399,,356,,6326,10,1536,128639,30196,167,5333
-1,6,0,0.833333,,0,,0,,,,10372,,513,0.142857,0,301,,1,4,10856,,,,,,5620,5795,16095,28689,10207,41823
-1,5,1,1.4,1,1,0,1,1,28,,3657,85,22066,0.333333,1008,1214,0,0,5,4455,4375,,85,,,63,4463,258,1170,433,1436
-1,4,2,2,1,1,1,0,1,511185,,16831,232684,340,0.6,116,535,0,0,4,27735,24018,,201,,465166,0,31,19996,3095,19693,87964
-1,1,5,5,6,5,5,0,3,172639,,9102,2408,789,3,1107,1243,0,2,1,40863,40863,,155,1140.5,4801,0,32897,137175,236915,255033,1763
-1,1,5,1,1,1,1,0,1,69,,7249,4540,10,3,393,1884,2,0,1,7249,,27.3333,,,11309.5,33164,9577,13778,7868,138,165
-1,4,2,3.25,1,1,0,1,1,376,,22636,362,26,0.6,101,1026,1,1,4,122898,117009,,247,477,,18,44309,227184,4211,229,14155
-1,6,0,2.66667,,1,,0,,,,29686,,11,0.142857,0,472,,0,6,88787,68747,,,,,0,20106,455,44,6501,340
-1,6,0,2.16667,,3,,1,,,,12204,,479,0.142857,0,787,,1,6,19678,21110,,,,,8,9904,11158,9165,1475,2640
-1,6,0,1.33333,,0,,0,,,,67437,,438,0.142857,0,751,,2,5,100259,,,,,,0,4341,8823,155,37159,11358
-1,5,1,2,0,1,0,1,1,18,,5403,1,459,0.333333,222,979,1,2,5,9174,9150,1,,,,8,157758,168617,201452,207726,18815
-1,0,6,,0,,0,,1,1133,,,816,,7,397,0,1,,0,,,34.25,155,,4604,431146,84,7,11,16,6
-1,3,3,1.66667,1,1,1,0,1,963,,81564,1536,79,1,830,875,1,1,3,83169,83169,18,,,2295,22089,36152,329109,9,14083,255
-1,0,6,,1,,1,,1,53890,,,951,,7,291,0,1,,0,,,1,224,915.333,2733,1962,52756,15,11,36,31
-1,1,5,4,0,22,0,0,1,63820,,2749,4785,1385,3,241,4200,0,1,1,7439,,,444,,6955.5,1,32,2,270572,5,191
-1,3,3,2,2,0,2,0,2,45,,1294,14737,81676,1,1014,642,2,1,3,2282,100,30,,457,43724,44362,7328,37084,69028,120,54
-1,3,3,1,2,2,2,2,2,15387,,1721,491,1289,1,436,825,0,0,3,1721,1721,,330,571,,161239,2913,10220,66652,38273,3598
-1,0,6,,1,,1,,2,690,,,39,,7,1408,0,2,,0,,,7,102.5,,,162545,6368,25,98,20,36
-1,2,4,1.5,3,7,4,5,3,154,,30744,18392,10,1.66667,530,443,3,0,2,46483,46483,,,505,24354.7,221444,175492,203137,272,5667,595
-1,0,6,,2,,2,,2,734,,,1869,,7,1120,0,1,,0,,,45,162.5,674,5084.5,78917,52,18,22991,54609,2939
-1,6,0,1.66667,,0,,1,,,,20016,,9,0.142857,0,1496,,1,6,22072,2526,,,,,263,223,1173,257,1099,4606
-1,6,0,1.83333,,1,,1,,,,19673,,52800,0.142857,0,387,,1,6,56969,15968,,,,,9769,58010,46579,2154,7129,36736
-1,6,0,1.33333,,0,,0,,,,9720,,31,0.142857,0,548,,2,6,11237,8985,,,,,8595,13229,37085,69832,123158,31955
-1,6,0,1.66667,,1,,1,,,,11282,,53907,0.142857,0,783,,1,5,13506,20039,,,,,5,790320,1016,3201,17374,2618
-1,1,5,2,2,0,2,0,1,34,,26,903,3357,3,757,1429,2,0,1,26,,32.5,116,741,3595,73,1179,43,64,256,50
-1,5,1,1.6,2,1,0,1,1,957,,17180,311,256,0.333333,597,883,0,3,4,17758,17497,,311,,,6,260677,957,7942,21535,97448
-1,2,4,2,1,2,1,1,1,26093,,17644,4832,5301,1.66667,628,550,0,1,2,33542,63124,,,651,6225,13,262,16423,2957,5074,24
-1,2,4,4,1,1,1,0,1,479473,,31827,797,6,1.66667,415,1389,0,1,2,89397,11169,,368.5,771,1680,2,165438,65020,20044,184,44613
-1,2,4,1.5,2,2,2,0,1,10,,30716,1251,70,1.66667,401,1914,2,2,2,37273,37273,13,71,939,3979,243,86231,146,28,259,961
-1,6,0,1.16667,,1,,1,,,,14143,,7369,0.142857,0,959,,0,6,14367,14367,,,,,9,37221,5695,9013,30090,54
-1,0,6,,1,,1,,1,72,,,789,,7,251,0,2,,0,,,41,92,,2235,84,1305,139,1471,2624,4
-1,6,0,4.33333,,6,,7,,,,35679,,7,0.142857,0,380,,1,6,109152,27985,,,,,1,39,8930,6925,145403,7239
-1,0,6,,1,,1,,1,12995,,,7486,,7,1231,0,0,,0,,,,78,1412,17932,143397,225,120,27,200,5589
-1,6,0,2.16667,,1,,1,,,,8392,,48,0.142857,0,2037,,0,6,11484,2618,,,,,14,11080,104,5028,49,26
-1,5,1,0.8,1,0,0,0,1,1023,,1111,12,583,0.333333,215,816,0,0,4,1111,,12,,,,6,1517,76430,1023,48907,13400
-1,5,1,1.4,7,1,0,1,2,51,,10799,110,117883,0.333333,698,876,1,1,4,35221,2998,,110,,,5,1212,28809,1503,2417,1044
-1,0,6,,1,,1,,1,59657,,,1301,,7,1275,0,2,,0,,,19.5,390,,4774,172284,24,12,472,2865,40
-1,3,3,1.33333,0,0,0,0,1,34265,,17896,119,45,1,555,586,0,0,3,19316,16477,28,164.5,,,1678,3419,2087,258,26324,144992
-1,1,5,3,1,2,1,0,2,2693,,1338,12382,90,3,449,143,1,1,1,2514,2514,,139,,16463,0,469413,243521,1451,22999,2000
-1,6,0,1.33333,,1,,1,,,,10320,,32,0.142857,0,736,,0,6,10401,13269,,,,,11,39961,5870,5171,644,1891
-1,0,6,,1,,2,,1,2841,,,2523,,7,348,0,1,,0,,,,164,681,4708.67,237748,58,2057,175130,731948,182621
-1,0,6,,1,,1,,1,7980,,,2273,,7,341,0,1,,0,,,33,149.333,,13123,299252,29400,6,5729,38528,58724
-1,3,3,2.66667,2,2,2,1,2,917,,2554,1984,482,1,2235,2361,1,0,3,5514,1669,,,,1984,0,1288,227,238,987,282650
-1,3,3,3,1,8,0,6,2,241,,14963,5390,15,1,573,642,0,0,3,29171,26920,,,1142,7514,23362,60201,28380,370594,91958,115075
-1,0,6,,2,,2,,2,5773,,,1504,,7,871,0,1,,0,,,1,267,841,3537,60,2031,68441,20,20080,2224
-1,0,6,,0,,0,,1,484452,,,1071,,7,474,0,0,,0,,,2.66667,,1041,2689,0,145345,157278,53944,196804,5
-1,5,1,2.8,1,1,0,1,1,13,,14814,152,28,0.333333,184,894,0,6,5,30357,30047,,152,,,287891,47042,3946,251195,71634,95073
-1,0,6,,1,,1,,1,226,,,3614,,7,320,0,0,,0,,,,98.5,,5957,9,797,3,333,4,74
-1,6,0,1.83333,,0,,0,,,,4930,,191,0.142857,0,788,,1,5,10631,13033,,,,,6,1251,2931,24719,1485,1047
-1,2,4,2.5,3,2,4,0,2,8,,13620,487,133,1.66667,224,1057,2,1,2,42755,42755,27,132,894.5,,42036,125312,1559,51,35,21
-1,0,6,,1,,2,,2,402,,,200,,7,805,0,1,,0,,,2,139.333,778,,6409,15820,21,1002,395,1129
-1,2,4,1.5,3,1,1,1,1,220586,,9203,2817,10,1.66667,568,1341,1,1,2,15837,2568,20,,,3748.67,344618,737209,1434,5991,1018,23
-1,4,2,2.25,2,1,2,1,3,72512,,9774,1999,17,0.6,846,3260,0,3,4,24410,19092,,86,,3911,0,21624,1239,7184,2770,122
-1,5,1,2.6,1,2,0,1,1,8496,,4030,1061,3095,0.333333,933,696,0,1,5,8960,6603,,,1061,,0,8496,10253,33066,37649,14120
-1,5,1,1,10,0,0,1,4,353302,,6777,1794,2,0.333333,606,761,4,5,2,11272,2791,,,,1794,256294,837007,57794,28327,31791,10301
-1,1,5,2,2,1,2,0,1,2796,,6984,468,7,3,271,1829,0,0,1,13358,13358,65,120,843,,30,619859,18,4,8,73
-1,0,6,,1,,1,,1,49733,,,844,,7,666,0,1,,0,,,17.5,,580.5,1935,3,818297,1187,375,3994,8
-1,0,6,,1,,0,,2,58,,,3132,,7,239,0,1,,0,,,1,,,3757.6,132,33,4,63,7,35
-1,2,4,0.5,2,1,2,0,2,8975,,3736,943,12521,1.66667,541,1150,0,1,1,3736,3736,11.3333,,,3736,293690,19028,5791,76,6654,1329
-1,6,0,3,,1,,0,,,,26929,,8099,0.142857,0,3407,,0,6,93938,1204,,,,,11411,4486,10102,43350,61982,198472
-1,2,4,1,1,1,0,0,1,20,,15810,817,26,1.66667,989,1065,1,1,2,15810,15810,,94,700.5,1773,20,14,53276,16416,38,11
-1,6,0,1.16667,,0,,1,,,,7107,,172,0.142857,0,489,,1,5,8282,8282,,,,,4,256772,41,54172,26172,5739
-1,5,1,2.8,1,4,0,2,2,12594,,28403,199,78,0.333333,311,1205,0,1,5,90470,89819,,199,,,13235,16568,361435,204330,132908,12594
-1,3,3,1.66667,1,0,0,0,1,1895,,258,2111,2069,1,494,1391,0,5,3,559,128,,128,,6076,4,4923,3,7266,751,3129
-1,1,5,3,0,1,1,0,1,341146,,7700,1101,4,3,490,889,0,0,1,14400,,19,,1041.5,3386,20,37234,5676,27763,933,1723
-1,0,6,,2,,3,,1,84345,,,4142,,7,1491,0,2,,0,,,1,201,,6161.75,5424,146747,9015,34,3945,27632
-1,3,3,1,1,0,1,0,1,15,,1061,1218,442,1,559,1226,0,1,3,1061,1061,49,,483,3123,8,9922,10861,9,960,50
-1,1,5,2,2,1,2,0,1,1320,,6607,1050,13,3,440,1761,1,0,1,8312,8312,58,232,,2363,0,3584,31947,18559,214945,213069
-1,5,1,1.6,2,1,0,1,1,43,,45631,49,11,0.333333,100,728,0,2,4,49113,49067,49,,,,3874,1916,3856,4346,219,4042
-1,6,0,0.666667,,0,,0,,,,2256,,109,0.142857,0,404,,1,4,2256,951,,,,,8,10132,14148,24,5655,14533
-1,4,2,3.25,0,4,0,2,1,708243,,17719,272,7,0.6,773,1819,0,3,4,31299,22689,,272,,,0,2263,232217,30866,8915,90986
