#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8
-1,1,7,3,3,2,3,0,2,7311,,4129,1772,8,4,305,506,1,3,1,8578,1210,32,257,,4915.5,28,12575,175024,10937,305298,1498,586094,208917
-1,0,8,,0,,0,,1,36,,,4691,,9,298,0,1,,0,,,44.5,283.5,876,17559.5,789,9983,72,782,49,555,102,18
-1,4,4,2.5,0,1,0,0,1,485314,,24122,7506,43,1,497,1576,0,3,4,28310,4695,,76,,22365,0,6086,974,99,1416,167,289,37195
-1,1,7,1,11,1,26,0,2,303478,,5846,2547,1048,4,613,324,1,0,1,5846,,39,278.333,758.5,15435,421849,105164,108432,18483,1013,30660,2415,25
-1,1,7,0,0,0,0,0,1,4229,,,2934,,4,267,629,1,2,0,,,32.5,207.333,954,18895,63,6,14,50,24,50,3374,475
-1,7,1,1.57143,1,2,0,2,1,13458,,79481,72,2926,0.25,202,848,1,1,7,79921,86748,,72,,,7,13577,3704,609395,22516,4392,13450,7
-1,8,0,1.625,,1,,1,,,,2862,,107,0.111111,0,1036,,6,7,4212,3348,,,,,142684,13078,953,7169,597,819,338,2744
-1,6,2,2,0,1,0,1,1,367007,,10901,931,8,0.428571,318,715,1,2,5,30210,12445,1,,,1861,6,4315,5616,181,70468,4599,103351,64726
-1,1,7,4,1,10,2,0,2,32,,49383,5605,2,4,189,231,1,3,1,178995,178995,,300,770.5,17928,7117,1434,134,1856,20,2084,146,107
-1,6,2,2.16667,0,4,0,3,1,218695,,4286,125,34541,0.428571,184,1560,0,1,5,9334,8086,21,229,,,5,93548,73524,21420,56693,4278,182896,9468
-1,5,3,2.4,0,2,0,4,1,833808,,26122,832,57,0.666667,406,653,1,3,5,49967,40703,,311,1092.5,,7,83940,3785,19037,8545,1214,15062,8198
-1,8,0,4.125,,3,,3,,,,12994,,10,0.111111,0,320,,1,8,46424,10123,,,,,0,3086,1190,67,1685,916,1448,144
-1,1,7,1,1,1,3,0,2,22523,,30143,4929,2,4,735,589,1,0,1,30143,30143,,256,889.5,9178.67,222,10,5420,204,2187,7457,2990,446
-1,1,7,0,1,0,1,0,1,743,,,627,,4,419,913,1,3,0,,,37,313,1247,1851,698451,24295,162,108,50026,145926,8,9565
-1,6,2,1.83333,1,2,0,2,1,1118,,6404,117,84998,0.428571,1187,1330,1,1,6,10779,14153,,117,,,72018,3119,14521,862,8851,60925,1374,1333
-1,8,0,2.875,,0,,2,,,,9723,,7,0.111111,0,654,,3,8,23658,,,,,,0,102,1803,3876,651,1112,350,1501
-1,3,5,3.33333,0,0,0,0,2,29,,7989,165,8,1.5,358,944,1,1,3,13250,13250,8.5,269.333,,,7,26,86,12808,1374,11,9818,4203
-1,3,5,1,1,2,0,1,1,3,,33033,3240,1816,1.5,211,543,1,2,3,33033,33033,,371,,3956.75,8,2,19177,34,2123,5,9,3
-1,4,4,1.5,1,1,1,1,1,114,,19175,3803,19,1,546,1171,2,2,4,21211,1273,,87,650,7236.5,0,108036,21360,17496,23093,7034,87,77
-1,6,2,0.666667,0,0,0,1,1,123407,,17178,2214,33411,0.428571,224,2466,1,0,4,17178,17384,,179,,4249,44698,564,8517,149521,127,3,22982,15790
-1,7,1,2.42857,0,0,0,1,2,23,,34158,171,7,0.25,257,159,0,1,7,88849,14961,,171,,,3053,2808,1312,30,554,726,135,11470
-1,4,4,1.25,0,-1,0,2,1,33592,,60995,373,35,1,561,1490,0,2,4,61152,81146,6,246,994,,12,47293,7531,6010,66,66,547,23005
-1,8,0,1.25,,1,,1,,,,39367,,355,0.111111,0,767,,0,7,72394,28088,,,,,46335,31443,44916,2723,22767,98330,107778,162933
-1,5,3,1.6,1,1,1,1,2,71031,,12805,1116,281,0.666667,314,1644,0,1,4,16920,14758,,302,,2744,4,4114,52882,20041,84,4713,116785,269578
-1,3,5,1,0,1,1,0,1,87,,3342,125,4,1.5,383,1094,2,1,3,3342,6682,1,155.5,,,26,1146,802,3527,339,434,4,3851
-1,4,4,2.25,1,1,1,1,2,525885,,62537,225,45577,1,906,1806,0,1,4,95182,31774,13,80,581,,6,122391,129903,482153,16099,440602,477,824
-1,0,8,,1,,2,,2,36155,,,5677,,9,640,0,1,,0,,,62,126,1184.75,20242.5,27,102,500,15,18,15,133096,1768
-1,0,8,,5,,3,,3,91487,,,5786,,9,503,0,1,,0,,,,193,1012.33,12424.3,16496,1712,540,182127,139700,54697,57,10311
-1,2,6,5,1,14,1,4,1,65,,69876,5115,88,2.33333,599,1599,0,0,2,216971,208467,,,,5115.33,323,10072,106,14,132,1070,231,3929
-1,0,8,,1,,1,,1,3866,,,1110,,9,852,0,0,,0,,,2.25,,1421,3503,188455,23033,21455,50455,8,88101,83436,27
-1,0,8,,1,,2,,2,497,,,3212,,9,595,0,1,,0,,,,115.667,936.5,7824.67,0,8805,51847,4214,1695,1167,116,1081
-1,5,3,1.8,0,0,0,0,1,283,,26107,62,8247,0.666667,494,2580,1,2,4,51189,17376,47,93,,,27,17619,43100,4040,6,46596,35893,79914
-1,0,8,,4,,3,,4,31688,,,2179,,9,920,0,0,,0,,,13,,752.667,5400.5,1434,1151,47,1152,47,1319,22,8
-1,0,8,,1,,1,,1,10478,,,746,,9,318,0,1,,0,,,28.5,197.5,1081,2273,12,485,960,657,6,793,3298,318
-1,6,2,17.6667,3,56,2,50,2,9,,11113,12968,12800,0.428571,808,376,0,1,6,61614,14109,,,,12968,-41,130,32,4,4122,17,204,1
-1,3,5,4,4,3,5,2,3,5304,,10393,1834,147,1.5,370,343,0,0,3,26578,405,,,819.333,3356.5,37,66,6,114,11869,20,18073,56971
-1,2,6,2,1,3,1,6,2,53874,,48975,1124,11,2.33333,282,249,1,5,2,120085,15503,,173.5,837,5214,2,39,40,11,736807,39128,4016,163
-1,8,0,2.625,,5,,5,,,,27208,,1972,0.111111,0,1157,,3,7,56537,92621,,,,,1,147987,5721,7009,661,3613,1974,2753
-1,7,1,2.42857,2,1,0,1,1,93195,,27348,98,11,0.25,977,559,0,1,7,60378,35036,,98,,,9,33193,55773,180224,128109,50300,25229,93195
-1,7,1,3.28571,0,7,0,10,1,318,,48797,11349,97,0.25,127,330,0,1,7,124980,91545,,,,11349,0,307,6058,271,10033,733,2152,318
-1,3,5,2.33333,1,3,1,2,1,12872,,6627,14858,390,1.5,516,966,1,0,3,13006,7400,,437,,19664.3,323500,156,17340,38996,9,2507,5878,152
-1,0,8,,6,,10,,2,5483,,,3508,,9,203,0,1,,0,,,,,808,4047.8,7,4082,127,31,283,5398,1531,1429
-1,0,8,,3,,3,,3,14706,,,1935,,9,572,0,1,,0,,,56,297.5,641,4084,16,32,7,1437,10,73,1717,159
-1,6,2,2.5,1,1,0,1,1,112553,,47824,2983,71,0.428571,826,1761,0,2,6,66221,55983,,350,,5616,0,102482,135,26,2438,56466,32640,57961
-1,6,2,1.33333,0,2,0,3,1,4782,,10390,68,142403,0.428571,509,970,0,2,6,11835,6418,1,135,,,4231,50564,78643,13098,62574,86330,778,41048
-1,7,1,1.42857,0,0,0,1,1,33108,,3837,11,46731,0.25,276,1879,0,1,7,5426,3978,11,,,,14,33096,11,76639,3922,2764,23185,6235
-1,8,0,1.125,,0,,1,,,,8927,,22691,0.111111,0,473,,1,7,15911,,,,,,857,5047,8230,11786,874,15815,16666,16570
-1,5,3,1.2,61,1,86,1,3,6260,,20698,1730,2057,0.666667,360,703,2,0,5,23005,29305,,,1151,2020,23136,17156,6828,16334,4021,42377,18690,5490
-1,0,8,,58,,141,,6,764,,,3285,,9,373,0,3,,0,,,,435,676,5302.75,26133,543,55,34,66879,31678,16226,2610
-1,7,1,1.71429,0,2,0,2,1,13,,7741,97,1150,0.25,216,210,0,1,7,10403,10329,,97,,,164370,19155,71122,19981,4511,83547,1910,3756
-1,2,6,8,3,5,4,1,2,106,,2240,3923,57,2.33333,269,296,1,1,2,6831,,,87.5,1329,7344.67,81,112,15,10,39,1066,309,8472
-1,8,0,1.25,,0,,1,,,,56280,,240,0.111111,0,435,,1,8,61598,47805,,,,,0,62,58,68070,1007,20,30,29
-1,6,2,3.83333,2,2,2,3,2,2286,,23909,777,134984,0.428571,2007,1381,1,1,6,82142,73549,,,776.5,,0,148346,30322,43060,4337,5679,2138,2207
-1,2,6,1,1,2,1,2,1,23,,12469,1595,1392,2.33333,527,1530,1,0,2,12469,12469,21,324,1051.5,3560,54,2127,41,29101,2893,1217,4424,86720
-1,0,8,,1,,1,,1,62815,,,612,,9,316,0,1,,0,,,8.25,163,,2266.5,5,21443,224677,466,203,2383,8,1
-1,0,8,,1,,1,,1,1259,,,849,,9,1158,0,1,,0,,,3,245.75,941.5,3920,1415,3993,34896,5487,21426,33446,28687,14619
-1,0,8,,2,,1,,2,3728,,,5717,,9,787,0,0,,0,,,,213,546,9762.25,19965,494,23064,972,1815,34447,60488,218559
-1,0,8,,1,,1,,2,125026,,,2453,,9,585,0,1,,0,,,,255,801.667,5570.33,0,1506,26,3,8,4,85,21
-1,2,6,5,0,4,0,2,1,153,,38240,4228,4,2.33333,228,539,0,3,2,94992,42323,,214,943.667,11160.5,21,70,4400,1144,524,911,20,468
-1,8,0,2,,0,,2,,,,13331,,5,0.111111,0,382,,1,8,22495,23248,,,,,1,17659,1088,289,1215,7375,400767,55956
-1,7,1,2.28571,1,1,0,1,1,10508,,6234,49,1766,0.25,373,1139,0,2,7,8064,7216,49,,,,10482,31238,66058,2881,41969,12957,10508,86034
-1,0,8,,10,,12,,9,5,,,13187,,9,310,0,1,,0,,,,,842.5,18125.2,19,7,31,80,6,3,6,22
-1,0,8,,1,,1,,1,8503,,,912,,9,498,0,0,,0,,,4,206.333,,3332,9135,284,28060,19378,17350,3663,727,1360
-1,0,8,,0,,1,,1,344299,,,5551,,9,396,0,0,,0,,,31,,520,7309.5,137681,43446,172084,4,12,16,9,85329
-1,0,8,,1,,1,,1,517072,,,3342,,9,1412,0,0,,0,,,1,221,970.5,10506,0,149712,143887,411980,123908,210384,364017,131021
-1,1,7,1,1,1,1,0,1,44,,271982,10746,254,4,368,1074,1,0,1,271982,271982,33.5,383,784,24662,277838,7,48,65,2779,76318,177120,343
-1,7,1,2.28571,0,1,0,1,1,4,,16324,82,31,0.25,158,805,0,1,7,26285,16694,,82,,,6,13175,97,9984,7240,2674,1396,21671
-1,8,0,1.75,,1,,2,,,,5050,,1317,0.111111,0,1987,,0,8,6983,4000,,,,,12401,429,4276,18266,2815,1680,1751,277
-1,6,2,2.33333,0,1,0,1,1,99345,,27629,59,61,0.428571,81,1469,1,1,6,57194,16544,59,,,,207855,32490,42871,32884,28012,95769,2828,105192
-1,1,7,2,1,2,1,0,2,54,,51563,317,212,4,357,3342,1,3,1,99005,99005,22.6667,151,667.667,,34,89,1503,1067,4609,503,1206,15716
-1,4,4,1,1,3,0,3,1,9,,67968,853,39,1,163,344,0,0,4,67968,67968,62,340,1252,1757,14632,90,65912,1980,2542,148967,61542,48453
-1,8,0,1.375,,1,,1,,,,2882,,208,0.111111,0,1238,,2,8,3799,3799,,,,,5,276,384,92,114099,3021,85,65
-1,0,8,,1,,0,,2,141441,,,898,,9,411,0,1,,0,,,8.5,78,732,3170.5,0,19273,40990,75018,51914,292800,21247,21602
-1,2,6,1.5,0,1,1,0,1,72,,16782,175,635,2.33333,246,176,0,0,2,28478,48822,11,142.5,729,,413318,1217,19,1455,56,16,104,11713
-1,5,3,2.6,1,1,1,1,1,434,,46320,2142,35,0.666667,521,955,1,1,5,92841,,1,158,,6267,9,2654,346,2723,23,1175,12,271
-1,0,8,,2,,3,,2,5,,,2937,,9,295,0,1,,0,,,30,78,583.5,5555.25,1,301,6,11,18,15,24,12810
-1,0,8,,1,,0,,2,15,,,3054,,9,616,0,1,,0,,,8,133.333,,6006,104395,845,88,441,14,8,25,383
-1,7,1,1.28571,0,1,0,1,1,943636,,6230,706,6,0.25,655,1427,0,2,7,8723,9892,,,706,,10,151557,53342,2688,372,2632,11578,20019
-1,7,1,1.57143,0,0,0,0,1,64,,21925,50,66112,0.25,157,559,0,0,7,30634,15029,50,,,,0,30,36493,39792,58203,64,91417,7474
-1,1,7,11,10,5,9,0,4,20,,9948,10458,20,4,1198,572,1,2,1,56707,4107,,,540,12441.6,4358,3089,1191,1905,4548,2109,503,1151
-1,6,2,0.833333,1,1,0,1,1,191390,,2731,22,1484,0.428571,346,1104,1,1,5,2731,827,21.5,,,,556937,10546,16953,24600,27442,10,2675,117
-1,5,3,3.2,10,3,7,3,5,57868,,19298,1376,69,0.666667,632,1090,2,1,5,78166,7613,,,1004,2121,0,48,2495,2451,3309,16,3294,249691
-1,0,8,,1,,1,,1,362,,,4538,,9,540,0,4,,0,,,6.5,137.5,998.5,17010,8,5,7,3,43,110,11,17
-1,2,6,0.5,1,2,0,0,1,88,,755,29624,6,2.33333,782,1457,2,1,1,755,755,,145,1222.5,58385.3,17286,7278,131,84,92,1065,466738,30293
-1,6,2,5,1,6,0,6,1,1216,,7118,2256,16,0.428571,1366,2303,0,1,6,15686,6023,,,838,3674,33264,220720,80363,181104,15870,52351,24288,46348
-1,0,8,,1,,1,,1,6479,,,1532,,9,719,0,2,,0,,,3,204.75,554,5439,4344,59,69,30031,28775,1546,1101,108337
-1,8,0,2.375,,0,,0,,,,7712,,517,0.111111,0,779,,1,8,16778,11888,,,,,2,4699,225435,1806,295,469,1865,628
-1,1,7,6,1,0,1,0,1,2265,,12830,1406,3,4,278,891,0,0,1,30288,20763,21,251,1021.5,3638.5,5,30696,439,39,508,5,223,262
-1,8,0,4.375,,2,,2,,,,21744,,6,0.111111,0,625,,2,8,81459,59173,,,,,0,9381,8936,7745,33885,8825,5337,9015
-1,7,1,1.85714,0,1,0,1,1,303,,17543,271,5165,0.25,532,1621,0,1,7,38325,15601,,271,,,0,1470,35216,167346,10783,240,24,1024
-1,5,3,2.8,1,1,3,1,1,398728,,3557,12637,99941,0.666667,173,866,1,1,4,7356,,,95,914,36902,0,4314,2529,3300,4,4414,995,40231
-1,0,8,,2,,2,,2,31250,,,1853,,9,959,0,1,,0,,,,227,1361,2789,74,734,63,1808,105,860,966,1238
-1,1,7,8,1,5,0,0,1,62504,,4402,34145,15,4,656,1021,1,2,1,10846,8307,11,,689,59407,178,59,3,10,9,5,15,7
-1,2,6,0.5,0,0,0,0,1,315510,,106,1381,5871,2.33333,1159,1527,0,1,1,106,106,21,261.5,,3859,15,1574,5871,4044,3714,10722,1264,2937
-1,7,1,3.28571,0,2,0,1,1,7,,20416,398,22,0.25,59,283,4,2,7,52430,47707,,398,,,1593,53285,11735,20236,12573,24461,54725,214815
-1,1,7,2,0,0,0,0,1,31,,9951,318,59,4,823,824,2,0,1,18389,1512,6,191.75,1133,,9,30,1035,401,34,967,467,1031
-1,3,5,5.33333,2,11,2,12,2,18745,,13053,4698,33,1.5,795,995,0,3,3,82422,6445,,,668,7384,0,90,1354,21,3898,6852,71390,40870
-1,3,5,1.33333,1,1,1,1,1,13003,,3060,1377,971,1.5,541,711,0,1,2,5704,6697,28,107,,6614,1621,2832,88,139874,291346,1373,8385,32921
-1,1,7,1,2,0,2,0,2,365012,,2241,3696,28,4,422,441,1,0,1,2241,2241,,73,615.667,7984,197309,18228,60175,4667,134898,197381,79496,2962
-1,1,7,4,1,5,1,0,2,68,,9883,4792,11,4,460,1717,0,2,1,28095,,30,,1075.67,10095,119,541,20897,1368,282,39,4099,2
-1,8,0,0.75,,1,,1,,,,46278,,6,0.111111,0,201,,0,5,46509,74785,,,,,85148,130,20,2881,23,2825,1417,1636
-1,0,8,,3,,3,,2,105973,,,2649,,9,689,0,1,,0,,,37,281.5,1596,6319.33,39,23,8,218,77,825,106,1140
-1,6,2,1,0,0,0,0,1,34731,,22,9,18795,0.428571,726,951,0,1,4,28,,9,,,,493429,4002,11838,5744,24388,11637,13,13334
-1,8,0,2.625,,5,,7,,,,22714,,9,0.111111,0,630,,1,8,45517,12551,,,,,0,34483,82041,1136,160,4606,14511,189814
-1,5,3,3,13,2,17,2,3,25297,,5199,3827,71,0.666667,1198,481,1,1,5,15818,2151,,,1323,5079.5,16,262400,23540,6492,219,229,1072,6
-1,0,8,,6,,6,,3,1291,,,1986,,9,673,0,2,,0,,,28,337,1402,6039,13,247741,11147,6,1427,22,609,272998
-1,8,0,2.75,,0,,0,,,,24649,,10,0.111111,0,1329,,2,8,41240,24958,,,,,28,1895,660,1549,2715,3009,11875,11520
-1,1,7,2,2,0,1,0,1,56,,3217,906,2,4,336,521,0,3,1,4080,4080,34.5,386,765.667,3591,34,5585,1611,1111,650,1047,1215,23
-1,5,3,1.8,0,1,0,0,1,15319,,6456,84,3433,0.666667,841,818,1,1,5,11670,2831,,84,,,0,14454,4225,96,2890,9976,112,1411
-1,7,1,2,0,0,0,0,1,6238,,8123,62,20,0.25,2520,659,0,1,7,15721,2309,62,,,,0,1351,12895,6238,2831,1015,5722,4759
-1,8,0,2.25,,2,,3,,,,11036,,18,0.111111,0,536,,1,8,32918,10862,,,,,8896,1291,335,16955,4154,34636,31954,1088
-1,8,0,1.25,,1,,0,,,,40561,,17,0.111111,0,662,,2,7,43842,39677,,,,,20,298003,648,157515,387522,26053,74843,68753
-1,6,2,2.66667,0,1,0,1,1,2599,,45061,696,58,0.428571,783,692,1,2,6,87090,38711,,,696,,97,2247,2138,1178,1272,2612,338,1046
-1,0,8,,3,,4,,2,1137,,,1631,,9,705,0,1,,0,,,,213,1024,4666.5,399,344,12,6,72,69,41,29
-1,7,1,1.71429,0,2,0,2,1,541,,22940,385,14489,0.25,568,718,2,1,7,23705,5147,,385,,,0,541,74997,156948,88256,24392,57551,32971
-1,7,1,2.28571,13,1,0,1,5,73550,,29008,1070,22,0.25,534,521,2,1,6,68132,53310,,,1070,,0,11468,131253,163864,36519,2309,16461,136172
-1,6,2,0.666667,0,0,0,0,1,186128,,5920,85,218,0.428571,473,878,0,1,4,5920,5920,62,108,,,2618,11002,783,3855,130609,6195,73427,187
-1,5,3,1,1,0,0,0,1,44100,,93250,42,67,0.666667,929,1702,0,0,4,93372,93129,42,,,,27,32876,12,127821,182817,1604,14379,2232
-1,5,3,2.6,0,2,0,1,1,74678,,13921,93,560,0.666667,2232,1938,0,1,5,31753,3664,,93,,,0,879,29149,2946,2286,34903,67433,153435
-1,6,2,2.66667,0,2,0,2,1,370,,18568,139,67,0.428571,178,505,0,1,6,37708,16091,1,277,,,96648,258,56,28458,4355,131048,48969,63293
-1,0,8,,0,,0,,1,58,,,105,,9,431,0,2,,0,,,12.6,259.333,,,7,32,932,59,97,17,94,28
-1,1,7,1,3,1,1,0,2,293388,,10679,2533,19,4,1630,436,1,0,1,10679,10679,,73,998,6831.5,5,59,38,5403,17,61685,623565,619231
-1,6,2,1.5,2,2,2,1,1,57,,6301,1485,3536,0.428571,1683,1356,1,1,6,9327,14415,,,1485,,13,4348,159,1116,3002,1166,264,50
-1,0,8,,3,,2,,2,308,,,1740,,9,1097,0,1,,0,,,,,674.5,3161.67,8758,326,424,5,21,47,72,112
-1,5,3,2,0,0,0,0,1,492630,,2720,912,17,0.666667,361,197,0,0,5,4971,1121,5,,,2726,0,4,3251,2434,543,19,633,4
-1,0,8,,1,,0,,1,34,,,516,,9,468,0,2,,0,,,9.66667,180,979.25,,80,174,5,57,1296,132,11,2485
-1,4,4,1.5,2,1,3,1,1,774017,,31561,604,13573,1,424,588,2,1,4,60530,743,11,174,1115,,0,1115,1384,133013,74418,15712,20,14
-1,0,8,,1,,1,,1,28,,,1330,,9,349,0,2,,0,,,27,297.8,754,8367,7372,149,17,1197,1380,265,21,4080
-1,2,6,1,1,1,1,0,1,405295,,9559,982,1971,2.33333,888,1236,0,5,2,9559,,27.6667,329.5,,5147,11,15897,66118,28915,11930,1073,6,8518
-1,7,1,2.42857,0,1,0,1,1,6693,,3576,38,14,0.25,542,3034,0,1,7,5857,2305,38,,,,12,194266,10365,6693,2015,1722,10105,2763
-1,2,6,5.5,15,5,29,0,2,37,,5219,14603,19,2.33333,693,1574,3,0,2,17259,367,,,618,17399.6,1741,24,3,17,2819,226,25,883
-1,2,6,2,5,3,7,2,2,142002,,2059,1581,5,2.33333,812,502,2,3,2,4446,764,,300.667,498,4043.5,15,375852,3274,3948,1792,0,64305,5
-1,0,8,,1,,1,,1,1629,,,389,,9,761,0,1,,0,,,23.2,393,457,2148,16,2931,66,130,65,96,846,11
-1,5,3,2.4,0,3,0,2,1,10110,,5543,1820,62937,0.666667,823,695,0,1,5,10862,12732,,,,1820,1236,18746,1400,17045,111,11402,12,96
-1,3,5,7,4,5,4,6,4,1128,,11271,1094,35,1.5,402,1165,2,0,3,33648,2465,20,,1183,1988,143,1417,1291,214,1138,318,4081,2
-1,0,8,,1,,2,,1,34,,,557,,9,397,0,1,,0,,,6,115.333,949,2203,53458,10007,2857,5456,7,1735,1133,6687
-1,8,0,2.5,,2,,1,,,,13383,,69,0.111111,0,903,,1,8,24151,18276,,,,,1,23523,120977,4625,63508,7764,10760,2720
-1,2,6,2,0,0,0,0,1,167714,,14451,101,6,2.33333,669,8574,2,3,2,14627,14370,25.25,251.5,,,32039,39636,8783,1511,2057,32,1130,17240
-1,8,0,2.75,,1,,1,,,,4230,,22,0.111111,0,511,,1,7,9475,2710,,,,,15718,2992,1346,203,57350,1550,8776,62114
-1,5,3,2.4,1,1,0,1,1,48897,,14430,352,4771,0.666667,869,1406,0,0,5,28102,28052,1,,528,,7,6651,795,3588,91,944,1982,2900
-1,5,3,1.6,14,5,15,4,4,302819,,16349,1475,46166,0.666667,956,1667,1,2,5,16647,20191,40,,1292,3092,324613,65748,367,5404,3524,14073,9709,18732
-1,8,0,1.75,,0,,0,,,,8183,,107,0.111111,0,860,,2,7,13476,436,,,,,3,204636,55878,10477,2206,40727,229,9235
-1,0,8,,1,,1,,1,325,,,17543,,9,176,0,2,,0,,,,151,487,34766,10724,1585,27202,183206,4,8,40,76
-1,0,8,,2,,2,,2,38326,,,2261,,9,969,0,1,,0,,,13.5,215.667,762.5,15885,8,8460,1059,30,100,16211,82,1206
-1,0,8,,1,,2,,1,269920,,,1312,,9,671,0,0,,0,,,20.5,121,982.25,6405,68874,5813,70,148,36,1259,141,24
-1,2,6,2.5,3,2,4,1,2,139454,,5886,1487,36,2.33333,487,271,1,0,2,12161,3172,,173,739,2611.33,29,9,122517,27383,451875,112368,10142,2845
-1,4,4,0.5,1,2,0,0,1,320576,,7824,751,7275,1,694,818,0,0,2,7824,,10,348,716,1930,95723,36487,9634,9,21820,63242,72,8303
-1,2,6,2,1,1,0,0,1,3765,,1370,1355,221557,2.33333,502,345,1,1,2,2946,2946,10,248.5,454,3585,1553,29,77506,18,8,31,9,57
-1,2,6,0.5,0,3,0,0,1,391,,57,1337,2,2.33333,328,1315,0,1,1,57,57,,428,804.5,4376,1,60,2723,12,3105,15,536945,118419
-1,5,3,5.2,2,5,2,4,1,3,,14795,586,3,0.666667,115,864,0,1,5,66778,61621,26,161,1572,,18,63,878,96,13,3041,1,37
-1,3,5,1.66667,1,0,1,0,1,2404,,14699,3420,61949,1.5,1148,877,1,1,3,23559,23559,,,624.5,5283.33,35,54782,53215,38857,23,39,97,54
-1,8,0,2,,1,,1,,,,23080,,100,0.111111,0,1438,,1,8,27425,37317,,,,,96,30140,17930,106,70098,248118,75875,4830
-1,7,1,2.57143,1,2,0,2,1,90,,17526,15703,16,0.25,206,633,0,2,7,38174,7362,,,,15703,169,26,18543,3089,90594,30056,1603,9721
-1,2,6,1,1,1,0,0,1,38775,,4116,1642,281,2.33333,492,1450,1,2,2,4116,4116,9.5,121,1288,4210.5,20595,20,2179,1486,1710,553,3785,3946
-1,3,5,2,0,5,0,6,1,1786,,10356,125,1859,1.5,898,800,0,0,3,15792,22995,29.6667,86,448,,6,65871,35014,2,30150,8268,113952,14573
-1,0,8,,1,,1,,1,96808,,,455,,9,303,0,1,,0,,,31.6667,145,849.5,,130784,1255,313,1866,2037,351,540,45
-1,0,8,,2,,2,,2,112564,,,9551,,9,1624,0,1,,0,,,13,156.5,,19017.5,0,675093,9916,31901,44384,444,3896,468
-1,0,8,,0,,0,,1,281672,,,4726,,9,293,0,0,,0,,,28,432,841,8917.25,0,11613,7067,433,3881,116916,8487,2091
-1,3,5,1,2,1,1,1,1,8082,,3990,494,35,1.5,1467,2592,3,3,2,6752,1228,24,393.5,829.5,,32,23,18653,40236,10215,1411,53,111
-1,7,1,2.42857,1,2,0,2,1,244407,,8585,2403,24167,0.25,996,762,0,1,7,15841,17629,,,,2403,0,25607,54522,7306,122216,152780,38930,80624
