numposts,avg(accepted_answers/num_answers)
576,0.23807952
577,0.31293722
578,0.48486631
579,0.31457886
580,0.33977013
581,0.32151483
582,0.32143918
583,0.28310656
584,0.30335032
585,0.34930356
586,0.42937448
587,0.25443248
588,0.46507368
589,0.39242103
590,0.36790318
591,0.37062728
592,0.30670605
593,0.44746377
594,0.33291967
595,0.32567645
596,0.20807463
597,0.39887441
598,0.37278431
599,0.47543217
600,0.26851002
601,0.35810779
602,0.29990142
603,0.40266735
604,0.26657460
605,0.41030469
606,0.42718768
607,0.35383445
608,0.30620663
609,0.33662867
610,0.44146775
611,0.30619819
612,0.32519084
613,0.35980453
614,0.33439562
615,0.38446591
616,0.36362300
617,0.31583402
618,0.48670996
619,0.29979290
620,0.22222222
621,0.36375755
622,0.31456850
623,0.35779447
624,0.35215602
625,0.31255404
626,0.26670677
627,0.39524476
628,0.32843137
629,0.25676676
630,0.35548976
631,0.42024238
632,0.27223292
633,0.34148624
634,0.25851808
635,0.27712995
636,0.30816752
637,0.39339665
638,0.29523605
639,0.33753113
640,0.33423191
641,0.32600686
642,0.30508735
643,0.26965017
644,0.35933521
645,0.28333187
646,0.39813619
647,0.30899377
648,0.34859369
649,0.30647262
650,0.27061095
651,0.27405857
652,0.36164691
653,0.29107474
654,0.31141323
655,0.29304085
656,0.30910712
657,0.36220735
659,0.36641604
660,0.30563178
661,0.32159249
662,0.24330062
663,0.40655537
664,0.32595081
665,0.31625397
666,0.38065182
667,0.30358231
668,0.34829106
669,0.32766903
670,0.35994333
671,0.28691622
672,0.34854984
673,0.42791757
674,0.38398889
675,0.28474576
676,0.34159826
677,0.37982573
678,0.37737378
679,0.37533570
680,0.33780200
681,0.44606581
682,0.33712669
683,0.36108603
684,0.42124523
685,0.36291351
686,0.42616465
687,0.13365539
688,0.27332927
689,0.46769505
690,0.34176693
691,0.27072185
692,0.30130390
693,0.34094878
694,0.35975540
695,0.47525242
696,0.43137499
697,0.40456770
699,0.40545102
700,0.47192424
701,0.39987934
702,0.33315492
703,0.27338464
704,0.33203596
705,0.44819706
706,0.51718460
707,0.26859806
708,0.28782051
709,0.34358707
710,0.51449294
711,0.42000551
712,0.55508475
713,0.21900395
714,0.32450892
715,0.35886249
716,0.58132956
717,0.27722772
718,0.35780781
719,0.43912020
720,0.21857143
721,0.31732927
722,0.39003520
723,0.30023155
724,0.33661088
725,0.47482352
726,0.35454076
727,0.36560225
728,0.32140662
729,0.37940525
731,0.33655395
732,0.26516220
733,0.17805846
734,0.42039840
735,0.23982594
736,0.26573180
737,0.38913908
738,0.20564296
739,0.33471074
740,0.39546481
741,0.48675133
742,0.22763169
743,0.49641320
745,0.45767411
746,0.43530311
747,0.23899505
749,0.36401076
751,0.32572788
752,0.34343315
753,0.27477168
754,0.39309785
756,0.35276655
757,0.42800528
758,0.33496225
759,0.42401200
760,0.41147537
761,0.34504589
762,0.27725869
763,0.36134324
764,0.39191863
765,0.30430991
766,0.28444693
767,0.30278044
768,0.42076764
769,0.46560847
770,0.24010468
771,0.33556035
772,0.46227318
773,0.37046632
774,0.44915254
775,0.34344399
776,0.26454271
777,0.32407407
779,0.31471861
781,0.40801630
782,0.27564167
783,0.33789288
784,0.29653508
787,0.14487179
788,0.51515152
789,0.38224133
790,0.27127854
791,0.40155721
792,0.43094629
793,0.53593947
794,0.42096237
795,0.19635891
796,0.22911392
797,0.23573975
798,0.53781513
799,0.34755491
800,0.34648202
803,0.40582524
804,0.18927145
805,0.25371120
808,0.16875000
809,0.31506849
810,0.36470670
811,0.34161072
812,0.41364609
813,0.53589109
815,0.33042267
816,0.39961301
817,0.33317661
819,0.43594153
820,0.31650018
821,0.32536521
823,0.39831899
825,0.32115716
826,0.43107694
827,0.18627451
829,0.47242424
832,0.17742396
833,0.23936170
834,0.19665810
836,0.23142509
837,0.32705249
838,0.18811564
839,0.43575346
840,0.24219114
841,0.49866759
842,0.47475962
843,0.38734770
846,0.25772648
847,0.36273574
848,0.27765568
849,0.21857818
850,0.32218709
851,0.38377724
852,0.29331103
853,0.29792551
855,0.39189749
858,0.42195316
859,0.43211334
860,0.46654719
861,0.32216781
862,0.35696203
863,0.31865585
864,0.38728608
865,0.32714617
866,0.25547861
867,0.26885806
869,0.70126874
871,0.18487395
873,0.37456749
876,0.37611302
878,0.51598174
880,0.42503006
881,0.23617512
883,0.24111911
884,0.19365609
885,0.29484301
887,0.30484694
888,0.28216609
890,0.45446516
891,0.25972540
892,0.34909910
893,0.27570621
894,0.16610550
895,0.32827208
896,0.31565636
897,0.44609244
898,0.41460674
899,0.27462933
900,0.71000000
901,0.26345291
903,0.38335091
904,0.34338703
905,0.25870070
906,0.53511706
907,0.38724880
908,0.54461182
911,0.33178114
912,0.32751343
913,0.36855867
914,0.34638191
915,0.40757750
916,0.28898145
917,0.91549296
918,0.31319228
919,0.39775281
920,0.41019168
921,0.43643403
922,0.43634040
925,0.30010834
927,0.54028936
929,0.23820225
930,0.25053996
931,0.38192568
932,0.26224157
935,0.19432351
937,0.39274879
939,0.33338235
941,0.17462090
943,0.26750536
945,0.31355497
946,0.34796926
947,0.30138445
948,0.33021390
949,0.32535435
950,0.49947995
953,0.57604307
956,0.30306748
957,0.26420134
958,0.24098978
959,0.14893617
962,0.41312093
965,0.23068553
966,0.42937363
967,0.42413385
968,0.31714794
969,0.34056687
971,0.42087542
972,0.30736842
973,0.26681128
974,0.23259643
975,0.56730769
978,0.37178167
980,0.29827872
982,0.38645833
984,0.41163546
987,0.34783834
988,0.48987854
989,0.40476884
991,0.33435270
992,0.41028226
993,0.27318548
994,0.28354430
995,0.33062880
997,0.36526316
998,0.31046959
999,0.54552542
1001,0.39702760
1002,0.27844311
1006,0.38095238
1008,0.32502596
1009,0.40291556
1010,0.46620278
1011,0.33979592
1012,0.12861416
1013,0.19193324
1014,0.33189097
1015,0.40261044
1016,0.20466321
1017,0.28105263
1018,0.32340862
1019,0.43646579
1021,0.42899119
1024,0.37576520
1027,0.35441474
1029,0.45017536
1030,0.38476563
1031,0.31968815
1034,0.34662605
1036,0.22479929
1038,0.43685822
1040,0.38253638
1042,0.45911579
1043,0.27740189
1044,0.32585371
1045,0.33978703
1046,0.17341040
1048,0.28618071
1051,0.50601547
1052,0.20967742
1053,0.25000000
1054,0.33750605
1055,0.53672870
1059,0.34657956
1062,0.35794874
1063,0.35614930
1064,0.27730729
1065,0.38243626
1067,0.35790725
1068,0.41509709
1069,0.53213465
1072,0.30566038
1074,0.19180633
1075,0.21902207
1077,0.29700137
1078,0.34248928
1080,0.42870457
1081,0.53378378
1082,0.28161318
1083,0.22520853
1085,0.19161677
1087,0.41674596
1088,0.29805014
1094,0.37602928
1097,0.29357798
1099,0.37633830
1101,0.30255941
1108,0.38719623
1109,0.45018525
1110,0.25120308
1111,0.38348659
1112,0.34854015
1114,0.39883268
1116,0.23178138
1117,0.23097583
1118,0.34321224
1123,0.29485329
1126,0.75000000
